ICD_CODE,NAME
001,*Cholera
0010,Cholera due to Vibrio cholerae
0011,Cholera due to Vibrio cholerae el tor
0019,"Cholera, unspecified"
002,*Typhoid and paratyphoid fevers
0020,Typhoid fever
0021,Paratyphoid fever A
0022,Paratyphoid fever B
0023,Paratyphoid fever C
0029,"Paratyphoid fever, unspecified"
003,*Other salmonella infections
0030,Salmonella gastroenteritis
0031,Salmonella septicemia
0032,*Localized salmonella infections
00320,"Localized salmonella infection, unspecified"
00321,Salmonella meningitis
00322,Salmonella pneumonia
00323,Salmonella arthritis
00324,Salmonella osteomyelitis
00329,Other localized salmonella infections
0038,Other specified salmonella infections
0039,"Salmonella infection , unspecified"
004,*Shigellosis
0040,Shigella dysenteriae shigellosis
0041,Shigella flexneri shigellosis
0042,Shigella boydii shigellosis
0043,Shigella sonnei shigellosis
0048,Other specified shigella infections shigellosis
0049,"Shigellosis, unspecified"
005,*Other food poisoning (bacterial)
0050,Staphylococcal food poisoning
0051,Botulism food poisoning
0052,Food poisoning due to Clostridium perfringens ¡£C. Welchii¡¤
0053,Food poisoning due to other Clostridia
0054,Food poisoning due to Vibrio parahaemolyticus
0058,*Other bacterial food poisoning
00581,Food poisoning due to Vibrio vulnificus
00589,Other bacterial food poisoning
0059,"Food poisoning, unspecified"
006,*Amebiasis
0060,Acute amebic dysentery without mention of abscess
0061,Chronic intestinal amebiasis without mention of abscess
0062,Amebic nondysenteric colitis
0063,Amebic liver abscess
0064,Amebic lung abscess
0065,Amebic brain abscess
0066,Amebic skin ulceration
0068,Amebic infection of other sites
0069,"Amebiasis, unspecified"
007,*Other protozoal intestinal diseases
0070,Balantidiasis
0071,Giardiasis
0072,Coccidiosis
0073,Intestinal trichomoniasis
0074,Cryptosporidiosis
0075,Cyclosporiasis
0078,Other specified protozoal intestinal diseases
0079,Unspecified protozoal intestinal diseases
008,*Intestinal infections due to other organisms
0080,*Intestinal infections due to Escherichia coli¡£E. coli¡¤
00800,"Intestinal infections due to E. coli, unspecified"
00801,Intestinal infections due to Enteropathogenic E. coli
00802,Intestinal infections due to Enterotoxigenic E. coli
00803,Intestinal infections due to Enteroinvasive E. coli
00804,Intestinal infections due to Enterohemorrhagic E. coli
00809,Intestinal infections due to other intestinal E. coli infections
0081,Intestinal infections due to Arizona group of paracolon bacilli
0082,Intestinal infections due to Aerobacter aerogenes
0083,Intestinal infections due to Proteus (mirabilis) (morganii)
0084,*Other specified bacteria
00841,Intestinal infections due to Staphylococcus
00842,Intestinal infections due to Pseudomonas
00843,Intestinal infections due to Campylobacter
00844,Intestinal infections due to Yersinia enterocolitica
00845,Intestinal infections due to Clostridium difficile
00846,Intestinal infections due to other anaerobes
00847,Intestinal infections due to other Gram-negative bacteria
00849,Intestinal infections due to other organisms
0085,"Bacterial enteritis, unspecified"
0086,*Enteritis due to specified virus
00861,Enteritis due to Rotavirus
00862,Enteritis due to Adenovirus
00863,Enteritis due to Norwalk virus
00864,Enteritis due to other small round viruses ¡£SRV¡¦s¡¤
00865,Enteritis due to Calcivirus
00866,Enteritis due to Astrovirus
00867,"Enteritis due to Enterovirus, NEC"
00869,Enteritis due to other viral enteritis
0088,"Intestinal infections due to other organism, not elsewhere classified"
009,*Ill-defined intestinal infections
0090,"Infectious colitis, enteritis and gastroenteritis"
0091,"Colitis, enteritis, and gastroenteritis of presumed infectious origin"
0092,Infectious diarrhea
0093,Diarrhea of presumed infectious origin
010,*Primary tuberculous infection
0100,*Primary tuberculous complex
01000,"Primary tuberculous complex, unspecified"
01001,"Primary tuberculous complex,bacteriological or histological examination not done"
01002,"Primary tuberculous complex ,bacteriological or histological examination unknown (at present)"
01003,"Primary tuberculous complex ,tubercle bacilli found (in sputum) by microscopy"
01004,"Primary tuberculous complex, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01005,"Primary tuberculous complex, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01006,"Primary tuberculous complex, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals"
0101,*Tuberculous pleurisy in primary progressive tuberculosis
01010,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified"
01011,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
01012,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
01013,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01014,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01015,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01016,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other me"
0108,*Other primary progressive tuberculosis
01080,"Other primary progressive tuberculosis, unspecified"
01081,"Other primary progressive tuberculosis, bacteriological or histological examination not done"
01082,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
01083,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01084,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01085,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01086,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation"
0109,"*Primary tuberculous infection, unspecified"
01090,"Primary tuberculous infection, unspecified"
01091,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done"
01092,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown(at present)"
01093,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
01094,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01095,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01096,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inocula"
011,*Pulmonary tuberculosis
0110,"*Tuberculosis of lung, infiltrative"
01100,"Tuberculosis of lung, infiltrative, unspecified"
01101,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done"
01102,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"
01103,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
01104,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01105,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01106,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of"
0111,"*Tuberculosis of lung, nodular"
01110,"Tuberculosis of lung, nodular, unspecified"
01111,"Tuberculosis of lung, nodular, bacteriological or histological examination not done"
01112,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"
01113,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"
01114,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01115,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01116,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of anima"
0112,*Tuberculosis of lung with cavitation
01120,"Tuberculosis of lung with cavitation, unspecified"
01121,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done"
01122,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
01123,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
01124,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01125,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01126,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation o"
0113,*Tuberculosis of bronchus
01130,"Tuberculosis of bronchus, unspecified"
01131,"Tuberculosis of bronchus, bacteriological or histological examination not done"
01132,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
01133,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
01134,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01135,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01136,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]"
0114,*Tuberculous fibrosis of lung
01140,"Tuberculous fibrosis of lung, unspecified"
01141,"Tuberculous fibrosis of lung, bacteriological or histological examination not done"
01142,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"
01143,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
01144,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01145,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01146,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animal"
0115,*Tuberculous brochiectasis
01150,"Tuberculous brochiectasis, unspecified"
01151,"Tuberculous bronchiectasis, bacteriological or histological examination not done"
01152,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)"
01153,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy"
01154,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01155,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01156,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]"
0116,*Tuberculous pneumonia¡£any form¡¤
01160,"Tuberculous pneumonia¡£any form¡¤, unspecified"
01161,"Tuberculous pneumonia¡£any form¡¤, bacteriological or histological examination not done"
01162,"Tuberculous pneumonia¡£any form¡¤, bacteriological or histological examination unknown (at present)"
01163,"Tuberculous pneumonia¡£any form¡¤, tubercle bacilli found (in sputum) by microscopy"
01164,"Tuberculous pneumonia¡£any form¡¤, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01165,"Tuberculous pneumonia¡£any form¡¤, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01166,"Tuberculous pneumonia¡£any form¡¤, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of a"
0117,*Tuberculous pneumothorax
01170,"Tuberculous pneumothorax, unspecified"
01171,"Tuberculous pneumothorax, bacteriological or histological examination not done"
01172,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
01173,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
01174,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01175,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01176,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]"
0118,*Other specified pulmonary tuberculosis
01180,"Other specified pulmonary tuberculosis, unspecified"
01181,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
01182,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
01183,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01184,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01185,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01186,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation"
0119,"*Pulmonary tuberculosis, unspecified"
01190,"Pulmonary tuberculosis, unspecified"
01191,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
01192,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown"
01193,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
01194,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01195,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01196,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of"
012,*Other respiratory tuberculosis
0120,*Tuberculous pleurisy
01200,"Tuberculous pleurisy, unspecified"
01201,"Tuberculous pleurisy, bacteriological or histological examination not done"
