機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3837081154,豐田中醫診所,私立中醫診所,中醫一般診所,彰化縣二林鎮,04 8957909,彰化縣二林鎮豐田里大成路一段59號、59-1號,,23.9002389,120.3727854
3837081181,德桂中醫診所,私立中醫診所,中醫一般診所,彰化縣二林鎮,04 8958388,彰化縣二林鎮豐田里南安路30號,,23.8986505,120.3742911
3837091034,品豪中醫診所,私立中醫診所,中醫診所,彰化縣線西鄉,04-7585999,彰化縣線西鄉沿海路一段８１２之１號,,24.13355,120.463185
3837100010,洪華慶中醫診所,私立中醫診所,中醫一般診所,彰化縣伸港鄉,04 7987302,彰化縣伸港鄉新港村（路）１２３巷９號,,24.1447318,120.4878595
3837100029,陳增智中醫診所,私立中醫診所,中醫一般診所,彰化縣伸港鄉,47990790,彰化縣伸港鄉新港村忠孝路２５號,,24.14852,120.485902
3837101080,榮脩中醫診所,私立中醫診所,中醫診所,彰化縣伸港鄉,04-7985377,彰化縣伸港鄉中山路６５號,,24.1472395,120.4852752
3837111059,暘谷堂中醫診所,私立中醫診所,中醫一般診所,彰化縣福興鄉,04 7749388,彰化縣福興鄉橋頭村復興路一一二之一號,,24.0523695,120.4388988
3837121064,昌德中醫診所,私立中醫診所,中醫一般診所,彰化縣秀水鄉,47691539,彰化縣秀水鄉福安村中山路五二九號,,24.0326859,120.4968418
3837121073,祥賀中醫診所,私立中醫診所,中醫一般診所,彰化縣秀水鄉,47699768,彰化縣秀水鄉中山路335號,,24.0345499,120.501002
3837121082,佶昌中醫診所,私立中醫診所,中醫一般診所,彰化縣秀水鄉,04 7692547,彰化縣秀水鄉彰水路二段三號,,24.0203392,120.4900842
3837130063,顧安中醫診所,私立中醫診所,中醫一般診所,彰化縣花壇鄉,47875859,彰化縣花壇鄉北口村中山路二段６３６號一、二樓,,24.0445269,120.534063
3837131079,佳仁堂中醫診所,私立中醫診所,中醫一般診所,彰化縣花壇鄉,47880251,彰化縣花壇鄉中山路二段六十、六十二號,,24.0394297,120.5351818
3837131097,彰芳中醫診所,私立中醫診所,中醫一般診所,彰化縣花壇鄉,04 7879978,彰化縣花壇鄉中山路二段五五一號,,24.041457,120.534425
3837140023,濟生中醫診所,私立中醫診所,中醫一般診所,彰化縣芬園鄉,49521756,彰化縣芬園鄉社口村清水路四十六號,,24.0146918,120.6301609
3837140041,存德中醫診所,私立中醫診所,中醫一般診所,彰化縣芬園鄉,49522452,彰化縣芬園鄉社口村芬草路二段２８４巷９號,,24.0141224,120.6294141
3837041089,人和堂中醫診所,私立中醫診所,中醫一般診所,彰化縣北斗鎮,04-8889138,彰化縣北斗鎮後溪巷9號1樓,,23.8822772,120.5291925
3837041098,寶田中醫診所,私立中醫診所,中醫一般診所,彰化縣北斗鎮,04-8872153,彰化縣北斗鎮中華路260號,,23.8730481,120.5222297
3837041105,勢登中醫診所,私立中醫診所,中醫診所,彰化縣北斗鎮,04-8872347,彰化縣北斗鎮斗苑路一段９４號,,23.872576,120.526151
3837050033,進安中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市,04 8329311,彰化縣員林市中正路１３２號,,23.9524445,120.5757604
3837050042,邱利生內科外科中醫診所,私立中醫診所,中醫專科診所,彰化縣員林市,04 8321321,彰化縣員林市中正路２４７號,,23.9544919,120.574203
3837050097,順規中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市,04 8320421,彰化縣員林市惠來里光明南街47號1樓,,23.9506408,120.5731864
3837050122,萬德堂中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市,04 8359395,彰化縣員林市莒光路３７０號,,23.960573,120.566971
3837050168,建安中醫診所,私立中醫診所,中醫專科診所,彰化縣員林市,04 8321130,彰化縣員林市中正路２９７、２９９號一樓,,23.955688,120.573534
3837050186,許文輝中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市,04 8326909,彰化縣員林市民生里永昌街７號,,23.9534577,120.5770746
3837050202,順星中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市,04 8354502,彰化縣員林市育英路５８０號,,23.968573,120.573904
3837050239,昇德中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市,04 8355455,彰化縣員林市中山南路７６號,,23.9542929,120.570875
3837050266,健元中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市,04 8360770,彰化縣員林市靜修路６２號,,23.9620659,120.567329
3837050319,王叔貞中醫診所,私立中醫診所,中醫一般診所,彰化縣員林市,48353033,彰化縣員林市三和里實踐街５８號,,23.9660286,120.5792743
3837012355,德盛中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市,04-7281600,彰化縣彰化市民族路362號,,24.07401,120.540002
3837012364,鈺漢堂中醫診所,私立中醫診所,中醫一般診所,彰化縣彰化市,04-7388838,彰化縣彰化市彰南路二段256-1號,,24.0836702,120.5835075
3837012382,玉衡中醫診所,私立中醫診所,中醫診所,彰化縣彰化市,04-7289128,彰化縣彰化市中山路三段86號,,24.0849713,120.5557621
3837012408,一正中醫診所,私立中醫診所,中醫診所,彰化縣彰化市,04-7289642,彰化縣彰化市中正路二段352號,,24.0744531,120.5364987
3837020044,李宗峰內科針炙科中醫診所,私立中醫診所,中醫專科診所,彰化縣鹿港鎮,04 7716735,彰化縣鹿港鎮溝墘里鹿和路三段６０８號,,24.0849921,120.4799886
3837020053,萬春中醫診所,私立中醫診所,中醫一般診所,彰化縣鹿港鎮,04 7712366,彰化縣鹿港鎮頂草路四段４０５號,,24.1082796,120.4575127
3837020071,陽明中醫診所,私立中醫診所,中醫一般診所,彰化縣鹿港鎮,04 7772701,彰化縣鹿港鎮中山路402號,,24.058994,120.431646
3837020106,鹿洲中醫診所,私立中醫診所,中醫一般診所,彰化縣鹿港鎮,47777699,彰化縣鹿港鎮中山南路２９號,,24.0463199,120.4395334
3837020133,新侒中醫診所,私立中醫診所,中醫一般診所,彰化縣鹿港鎮,47770911,彰化縣鹿港鎮民權路125號,,24.056994,120.4361108
3837020142,天喜中醫診所,私立中醫診所,中醫一般診所,彰化縣鹿港鎮,47741981,彰化縣鹿港鎮民族路57號,,24.055978,120.436663
3837020516,德先中醫診所,私立中醫診所,中醫一般診所,彰化縣鹿港鎮,47789336,彰化縣鹿港鎮街尾里文聖街一號,,24.0480926,120.4404794
