機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3822021771,慈仁中醫診所,私立中醫診所,中醫診所,嘉義市西區,05-2258837,嘉義市西區志昇街71號1樓,,23.4690574,120.443289
3822011408,嘉德中醫診所,私立中醫診所,中醫一般診所,嘉義市東區,05-2270112,嘉義市東區吳鳳北路216號,,23.4794395,120.4532402
3822011417,芳安中醫診所,私立中醫診所,中醫一般診所,嘉義市東區,52289913,嘉義市東區芳安路103號,,23.468453,120.4631297
3822011435,誠泰中醫診所,私立中醫診所,中醫一般診所,嘉義市東區,05-2713969,嘉義市東區民權路188號,,23.4832658,120.4555585
3822011453,文德中醫診所,私立中醫診所,中醫一般診所,嘉義市東區,05-2251827,嘉義市東區和平路261號,,23.4796529,120.4569084
3822011462,和信中醫診所,私立中醫診所,中醫一般診所,嘉義市東區,05-2766256,嘉義市東區嘉北街106號,,23.4941249,120.453365
3822011471,兆春中醫診所,私立中醫診所,中醫一般診所,嘉義市東區,05 2752282,嘉義市東區林森東路82號,,23.4867457,120.4572196
3822011506,濟世中醫診所,私立中醫診所,中醫一般診所,嘉義市東區,05-2740868,嘉義市東區林森東路800號、802號1樓,,23.4924976,120.4789688
3822011551,天仁堂中醫診所,私立中醫診所,中醫診所,嘉義市東區,05-2301900,嘉義市東區吳鳳南路579號,,23.4547819,120.4594789
3822011588,金陵中醫診所,私立中醫診所,中醫診所,嘉義市東區,05-2759014,嘉義市東區吳鳳北路353號之1一樓,,23.4835516,120.4523264
3822011597,天祥中醫診所,私立中醫診所,中醫診所,嘉義市東區,05-2253607,嘉義市東區中山路210號,,23.4807674,120.4515484
3822011604,吉祥中醫診所,私立中醫診所,中醫診所,嘉義市東區,2230229,嘉義市東區興業東路317號,,23.469591,120.4565988
3822020050,李中醫診所,私立中醫診所,中醫一般診所,嘉義市西區,05 2852059,嘉義市西區杭州三街２１號,,23.466618,120.4452572
3822020130,杏林堂中醫診所,私立中醫診所,中醫一般診所,嘉義市西區,05 2353309,嘉義市西區民生南路５５０號,,23.4589785,120.4434788
3822020149,中和內科傷科中醫診所,私立中醫診所,中醫專科診所,嘉義市西區,05 2273543,嘉義市西區民族路806號,,23.4751959,120.4404593
3822020274,張福泉中醫診所,私立中醫診所,中醫一般診所,嘉義市西區,05 2320181,嘉義市西區北興街１７４號,,23.484237,120.441414
3822020336,蔡國忠中醫診所,私立中醫診所,中醫一般診所,嘉義市西區,05 2854696,嘉義市西區仁愛路２９７號,,23.4724335,120.4424398
3822020345,聖林中醫診所,私立中醫診所,中醫一般診所,嘉義市西區,05 2320581,嘉義市西區自由路３１２號,,23.4902502,120.4354694
3822020416,洪鳳鳴中醫診所,私立中醫診所,中醫一般診所,嘉義市西區,05 2321091,嘉義市西區博愛路一段207號,,23.4885514,120.4456928
3822020434,大成中醫診所,私立中醫診所,中醫一般診所,嘉義市西區,05 2222635,嘉義市西區書院里新榮路307號1至2樓,,23.4763952,120.4442769
3822020461,建成中醫診所,私立中醫診所,中醫一般診所,嘉義市西區,05 2866058,嘉義市西區建成街７３之２號,,23.4711086,120.4406598
3822020470,養心齋中醫診所,私立中醫診所,中醫一般診所,嘉義市西區,05 2341971,嘉義市西區八德路56號,,23.4834829,120.4309994
