機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3840060061,林憲慶中醫診所,私立中醫診所,中醫一般診所,嘉義縣新港鄉,05 3741212,嘉義縣新港鄉大興村中正路９４號,,23.5576192,120.3468014
3840061077,葉中醫診所,私立中醫診所,中醫一般診所,嘉義縣新港鄉,05-3749789,嘉義縣新港鄉大興村中正路一二八號,,23.5587801,120.3470545
3840090514,承德中醫診所,私立中醫診所,中醫診所,嘉義縣義竹鄉,,嘉義縣義竹鄉仁里村377號,,23.3384173,120.241176
3840110011,乾元中醫診所,私立中醫診所,中醫一般診所,嘉義縣太保市,05 3712888,嘉義縣太保市後潭里後潭４０９號,,23.4524654,120.3426179
3840111036,重德中醫診所,私立中醫診所,中醫診所,嘉義縣太保市,05-3623912,嘉義縣太保市安仁里太保五路98號,,23.4570766,120.2986367
3840111054,仁安中醫診所,私立中醫診所,中醫診所,嘉義縣太保市,05-3621331,嘉義縣太保市健康路212號,,23.4664795,120.2957392
3840120062,維祥中醫診所,私立中醫診所,中醫一般診所,嘉義縣水上鄉,05 2682969,嘉義縣水上鄉水上村正義路１２０號,,23.429702,120.398548
3840130022,王冠中醫診所,私立中醫診所,中醫一般診所,嘉義縣中埔鄉,05 2395206,嘉義縣中埔鄉和美村中山路５段８５０號,,23.451907,120.46077
3840130040,全安堂中醫診所,私立中醫診所,中醫一般診所,嘉義縣中埔鄉,05 2395739,嘉義縣中埔鄉和興村中華路３０５巷４６號,,23.4393304,120.4520387
3840131074,全德中醫診所,私立中醫診所,中醫一般診所,嘉義縣中埔鄉,05-2399950,嘉義縣中埔鄉中華路八三六號一樓,,23.449343,120.45944
3840140019,世宗內兒科中醫診所,私立中醫診所,中醫專科診所,嘉義縣竹崎鄉,05 2611210,嘉義縣竹崎鄉竹崎村中正路８號,,23.5213963,120.5502492
3840150033,懷生中醫診所,私立中醫診所,中醫一般診所,嘉義縣梅山鄉,05 2624795,嘉義縣梅山鄉梅東村社教路五十二號,,23.5786935,120.5600696
3840010089,仁德中醫診所,私立中醫診所,中醫一般診所,嘉義縣朴子市,05 3792951,嘉義縣朴子市新榮路１６２號,,23.4626841,120.2453752
3840010098,佑昇中醫診所,私立中醫診所,中醫一般診所,嘉義縣朴子市,05 3799612,嘉義縣朴子市開元路３８２號,,23.4654163,120.2397934
3840011139,純青中醫診所,私立中醫診所,中醫一般診所,嘉義縣朴子市,05-3704365,嘉義縣朴子市開元路217號,,23.4662368,120.2436045
3840011148,佳和中醫診所,私立中醫診所,中醫一般診所,嘉義縣朴子市,05-3702266,嘉義縣朴子市大同路149號,,23.4611321,120.24305
3840011157,十方中醫診所,私立中醫診所,中醫診所,嘉義縣朴子市,05-3706550,嘉義縣朴子市南通路三段727號,,23.4629626,120.24282
