機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3712041607,陳清龍牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5220899,新竹市北區中山路183號,,24.802511,120.962761
3712041670,周易中牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5367653,新竹市北區東大路三段三百九十五號,,24.8371758,120.9423659
3712041705,冠傑牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5238635,新竹市北區林森路二五三號三樓,,24.7979789,120.9626612
3712041714,譚牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5333142,新竹市北區武陵路2號,,24.8152011,120.962305
3712041741,黃建群牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5259939,新竹市北區中華路三段28號,,24.7971736,120.9628218
3712041812,傑霖牙醫診所,私立牙醫診所,牙醫診所,新竹市北區,03-5265995,新竹市北區西大路634號,,24.80777,120.961495
3712041830,黃啟祥牙醫診所,私立牙醫診所,牙醫診所,新竹市北區,03-5269095,新竹市北區和福街105號,,24.8030018,120.9639399
3712050026,深潭牙醫診所,私立牙醫診所,牙醫一般診所,新竹市香山區,03-5388127、5388420,新竹市香山區牛埔路４４０號,,24.7974574,120.9422341
3712050035,永志牙醫診所,私立牙醫診所,牙醫一般診所,新竹市香山區,03-5387553,新竹市香山區牛埔路４３７號,,24.7963192,120.9413121
3712050044,陳培中牙醫診所,私立牙醫診所,牙醫一般診所,新竹市香山區,03-5398499,新竹市香山區香北路二一五號,,24.7902914,120.9255092
3712010988,雅旭牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5750256,新竹市東區大學路七十六號,,24.7896041,121.00012
3712012008,普洛牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5751992,新竹市東區建新路二十六號二樓,,24.7981294,120.9966758
3712012071,國喬牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5714520,新竹市東區光復路二段一七六號,,24.793819,121.000955
3712012080,敦品牙醫診所,私立牙醫診所,牙醫診所,新竹市東區,03-5438382,新竹市東區三民里民權路101號1樓,,24.807581,120.975185
3712012115,皇家牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5223811,新竹市東區中正路73號,,24.8051495,120.9695251
3712012151,秀雅牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5780580,新竹市東區金山里金山北二街61號,,24.7778951,121.024141
3712012179,微笑牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5152408,新竹市東區民族路一五八之一號一樓,,24.8086699,120.9786783
3712012222,展新牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5246312,新竹市東區勝利路一七五號二樓,,24.8012861,120.9646525
3712012259,敏華牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-6686151,新竹市東區新莊里關新路27號3樓之2及3樓之3,,24.7847633,121.0182392
3712012268,永霖牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,(03) 5246303,新竹市東區南門街16號,,24.8004551,120.9678469
3712012286,康齡牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,(03)5753033、5738388,新竹市東區光復路二段222號,,24.7944525,121.0000629
3712012295,耕心牙醫診所,私立牙醫診所,牙醫診所,新竹市東區,03-5727139,新竹市東區光復路二段380號二樓,,24.796802,120.997192
3712012302,王存禎牙醫診所,私立牙醫診所,牙醫診所,新竹市東區,03-5615581,新竹市東區食品路142號1樓,"口腔顎面外科,",24.7976704,120.9768603
3712012311,品味牙醫診所,私立牙醫診所,牙醫診所,新竹市東區,03-6662299,新竹市東區金山街138號,,24.7760591,121.025228
3712040011,新捷牙醫診所,私立牙醫診所,牙醫專科診所,新竹市北區,03-5313190,新竹市北區水田街２１號,,24.813205,120.965704
3712040048,王牙醫診所,私立牙醫診所,牙醫專科診所,新竹市北區,03-5248922,新竹市北區中山路２２號２Ｆ,,24.8058909,120.9674918
3712040066,傑笙牙醫診所,私立牙醫診所,牙醫專科診所,新竹市北區,35227447,新竹市北區北新街48號1樓,,24.8031798,120.9561777
3712040075,上上牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,35251383,新竹市東區中山路４００號,,24.8005597,120.9582896
3712040084,榮浩牙醫診所,私立牙醫診所,牙醫專科診所,新竹市北區,03-5335838,新竹市北區武陵路一五三號,,24.8204473,120.9676108
3712040100,陽明牙醫診所,私立牙醫診所,牙醫專科診所,新竹市北區,03-5282386,新竹市北區民富街２７號,,24.8099184,120.9645327
3712040137,翰霖牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5356930,新竹市北區西大路710號,,24.8095431,120.960067
3712040208,懷仁牙醫診所,私立牙醫診所,牙醫專科診所,新竹市北區,03-5268510,新竹市北區磐石路３５號,,24.8085906,120.9571795
3712040217,東大牙醫診所,私立牙醫診所,牙醫專科診所,新竹市北區,03-5312087,新竹市北區東大路２段３６５號,,24.8188111,120.962014
3712040244,仁德牙醫診所,私立牙醫診所,牙醫專科診所,新竹市北區,03-5265556,新竹市北區西大路４７３號,,24.804938,120.96291
3712040280,東寧牙醫診所,私立牙醫診所,牙醫專科診所,新竹市北區,03-5260768,新竹市北區大同里中央路89、91號第一層,,24.80577,120.968419
3712040306,許牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5241661,新竹市北區中山路２１１號,,24.802195,120.962133
3712040333,陳牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5234528,新竹市北區北大路２３９巷１號,,24.807346,120.9646261
3712040342,僑霖牙醫診所,私立牙醫診所,牙醫專科診所,新竹市北區,03-5330060,新竹市北區水田街１２０號,,24.8147103,120.9671044
3712040388,如意牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5422765,新竹市北區光田里水田街131號,,24.816363,120.968426
3712040404,親民牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5427027,新竹市北區竹光路２１號,,24.8144341,120.961439
3712040431,潔明牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5250227,新竹市北區西門街６２號,,24.8024916,120.964762
3712040459,雅群牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5153492,新竹市北區水田街134號1樓,,24.8149001,120.967352
3712040477,游牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5238158,新竹市北區四維路４5號,,24.7991284,120.9620407
3712040486,西門牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5213959,新竹市北區西大路６２７號,,24.8099288,120.9586002
3712040495,江牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5223450,新竹市北區中山路２５３號,,24.801554,120.961206
3712040502,懷恩牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5261357,新竹市北區潛園里北大路325號,,24.8056992,120.9620595
3712040539,吳慧琳牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03-5319264,新竹市北區經國路一段３２９號１樓,,24.8145898,120.9817998
3712040566,東濟牙醫診所,私立牙醫診所,牙醫一般診所,新竹市北區,03- 5349277,新竹市北區湳雅街2 - 5號,,24.816861,120.969759
3712010086,聯合牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5770643,新竹市東區光復路一段631號1樓、2樓,,24.7864279,121.0109994
3712010102,明皓牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5618777,新竹市東區食品路二二二號,,24.7966592,120.9751678
3712010166,維泰牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5320432,新竹市東區民族路４７號,,24.806357,120.974332
3712010193,孫牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5241665,新竹市東區西大路３７６號,,24.802463,120.965567
3712010219,宏昌牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5324237,新竹市東區中央路１４４號１樓,,24.8073,120.971674
3712010237,蔡牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5323636,新竹市東區民權路５９號,,24.8065095,120.9759745
3712010255,大學牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5720909,新竹市東區光復路二段４３４號,,24.7975475,120.9959907
3712010291,鄭牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5265456,新竹市東區南大路３４３號,,24.797286,120.969724
3712010308,福華牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5262345,新竹市東區中華路二段７１６號,,24.7976681,120.9643836
3712010335,園區牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5783712,新竹市東區光復路一段３０７號,,24.782254,121.018828
3712010344,禮正牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5776703,新竹市東區光復路一段３８１號,,24.7835121,121.016761
3712010371,沈牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,(03) 5725735,新竹市東區博愛街138號,,24.799577,120.981422
3712010380,新明牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5798759,新竹市東區光復路一段４３６號,,24.7848432,121.0140434
3712010399,溫牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5331081,新竹市東區三民里民族路177號,,24.8093922,120.9793395
3712010406,唐牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5267838,新竹市東區南大路８１６號,,24.7883766,120.9668292
3712010442,親親牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,(03) 5252771,新竹市東區東南街145號,,24.797504,120.97453
3712010451,明湖牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5256237,新竹市東區南大路４７１號,,24.795509,120.9665587
3712010460,光復牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5726508,新竹市東區光復路二段３５７號,,24.800975,120.986443
3712010488,三民牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5310486,新竹市東區中央路２８８號,,24.8099088,120.9775907
3712010497,陳奕熹牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5430272,新竹市東區民主路99號2樓,,24.8113548,120.9789987
3712010522,中心牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5152786,新竹市東區北大路76號,,24.8117348,120.9709842
3712010531,曾元春牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5336931,新竹市東區北大路２７－１號,,24.812807,120.973515
3712010577,智信牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5781997,新竹市東區新莊街75號77號1樓,,24.785956,121.015831
3712010620,先進牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5228999 ,新竹市東區食品路417號,,24.7935733,120.9679773
3712010639,金明牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5711899,新竹市東區食品路１０３巷２號１Ｆ,,24.7979447,120.9778924
3712010648,信愛牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5313760,新竹市東區北大路29之1號2樓,,24.812738,120.973291
3712010666,崇安牙醫診所,私立牙醫診所,牙醫專科診所,新竹市東區,03-5785936,新竹市東區科園里科學園路33號1樓及2樓,,24.7860282,121.0102673
3712010675,王子牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5337890,新竹市東區文華里田美三街20號,,24.8154578,120.9769081
3712010684,珂牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5234023,新竹市東區武昌街１０６號,,24.8030504,120.9672509
3712010746,宏大牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5613537,新竹市東區食品路５４５號,,24.79462,120.965147
3712010773,簡牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5320790,新竹市東區民生路２００號,,24.8115149,120.9761654
3712010782,上慈牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5355655,新竹市東區民族路84-2號,,24.8073389,120.976508
3712010791,貝多芬牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5749567,新竹市東區建功一路59巷6號,,24.8007187,120.9967374
3712010808,關東橋仁美牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5778528,新竹市東區西大路165號1F,,24.7974958,120.9687673
3712010826,誼安牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5357700,新竹市東區復中里中央路178號1樓,,24.8086484,120.9738765
3712010835,品傑牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03 5619665,新竹市東區東南街１５０號,,24.7960981,120.974928
3712010844,陳慧貞牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5723629,新竹市東區建新路36號,,24.798138,120.997001
3712010853,周禮賢牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5284882,新竹市東區東門街６７號,,24.803847,120.971665
3712010880,清華佳南牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5715684,新竹市東區光復路二段１４２號,,24.7932701,121.001761
3712010899,米羅牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5642009,新竹市東區光復路一段432號,,24.7848123,121.0141231
3712010942,新象牙醫診所,私立牙醫診所,牙醫一般診所,新竹市東區,03-5795839,新竹市東區科學園路６０號,,24.785359,121.0105611
3812011727,科理中醫診所,私立中醫診所,中醫一般診所,新竹市東區,03-5624128,新竹市東區東南街138之1號,,24.7974163,120.9742073
