機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3833051258,光明中醫診所,私立中醫診所,中醫診所,新竹縣竹北市,36586098,新竹縣竹北市莊敬5街11號,,24.8215521,121.0260309
3833051267,立心中醫診所,私立中醫診所,中醫診所,新竹縣竹北市,03-6576626,新竹縣竹北市勝利五路225號,,24.8231093,121.0297357
3833060024,仁安中醫診所,私立中醫診所,中醫一般診所,新竹縣湖口鄉,35692603,新竹縣湖口鄉湖鏡村湖口老街二五七號,,24.8776448,121.058342
3833060033,范中醫診所,私立中醫診所,中醫一般診所,新竹縣湖口鄉,03-5903503,新竹縣湖口鄉達生路８０號,,24.9030827,121.0470409
3833060079,信華中醫診所,私立中醫診所,中醫一般診所,新竹縣湖口鄉,03-5902781,新竹縣湖口鄉中民街15號1樓,,24.905749,121.0464749
3833060088,毅安中醫診所,私立中醫診所,中醫一般診所,新竹縣湖口鄉,03-5903068,新竹縣湖口鄉成功路一七五號,,24.90369,121.042739
3833061101,盧廷圳中醫診所,私立中醫診所,中醫一般診所,新竹縣湖口鄉,5904733,新竹縣湖口鄉忠孝路26號,,24.9004939,121.046222
3833061110,秀輝中醫診所,私立中醫診所,中醫一般診所,新竹縣湖口鄉,03-5903931,新竹縣湖口鄉達生路52號,,24.9034117,121.0463683
3833080044,長安中醫診所,私立中醫診所,中醫一般診所,新竹縣新豐鄉,35594218,新竹縣新豐鄉新興路２３７號,,24.8701364,120.9966714
3833081069,均安中醫診所,私立中醫診所,中醫一般診所,新竹縣新豐鄉,03-5578356,新竹縣新豐鄉泰安街82號,,24.8705206,120.993551
3833081087,上上中醫診所,私立中醫診所,中醫診所,新竹縣新豐鄉,5579399,新竹縣新豐鄉建興路一段74號1樓,,24.871317,120.9952955
3833091029,劉仁貴中醫診所,私立中醫診所,中醫一般診所,新竹縣芎林鄉,5923649,新竹縣芎林鄉文山路620號,,24.7789161,121.0765522
3833011058,長鴻中醫診所,私立中醫診所,中醫診所,新竹縣關西鎮,03-5876633,新竹縣關西鎮正義路120號之1,,24.79425,121.176166
3833020066,黎中醫診所,私立中醫診所,中醫一般診所,新竹縣新埔鎮,35882358,新竹縣新埔鎮中正路３５９巷１９弄１１號,,24.827357,121.077262
3833020084,蘇中醫診所,私立中醫診所,中醫一般診所,新竹縣新埔鎮,03 -5889159,新竹縣新埔鎮中正路７５０號,,24.8278519,121.0717327
3833030017,姜仁壽中醫診所,私立中醫診所,中醫一般診所,新竹縣竹東鎮,35967866,新竹縣竹東鎮長春路二段９８號,,24.7391132,121.0874672
3833030044,中美中醫診所,私立中醫診所,中醫一般診所,新竹縣竹東鎮,35953949,新竹縣竹東鎮商華街４９號,,24.7375429,121.088413
3833030062,彭中醫診所,私立中醫診所,中醫一般診所,新竹縣竹東鎮,35966571,新竹縣竹東鎮長春路三段２３號,,24.7404536,121.0860806
3833030080,慶安中醫診所,私立中醫診所,中醫一般診所,新竹縣竹東鎮,35963641,新竹縣竹東鎮仁愛路３１４號,,24.7375224,121.0907673
3833031167,易東中醫診所,私立中醫診所,中醫一般診所,新竹縣竹東鎮,03-5101582,新竹縣竹東鎮北興路三段五七0號,,24.7454814,121.086294
3833031176,和新中醫診所,私立中醫診所,中醫一般診所,新竹縣竹東鎮,5103499,新竹縣竹東鎮長春路一段二八0號,,24.7304499,121.0921585
3833031210,寶安堂中醫診所,私立中醫診所,中醫一般診所,新竹縣竹東鎮,03-5959128,新竹縣竹東鎮北興路一段611號1樓,,24.7366675,121.0953239
3833031229,杏林中醫診所,私立中醫診所,中醫診所,新竹縣竹東鎮,35964361,新竹縣竹東鎮仁愛路350號,,24.7384484,121.0908751
3833050019,鄭中醫診所,私立中醫診所,中醫一般診所,新竹縣竹北市,35552682,新竹縣竹北市博愛街１６０號,,24.8320635,121.0054688
3833050055,天安中醫診所,私立中醫診所,中醫一般診所,新竹縣竹北市,35516606,新竹縣竹北市博愛街３７９號,,24.8366872,121.0086359
3833050073,宏德中醫診所,私立中醫診所,中醫一般診所,新竹縣竹北市,35518129,新竹縣竹北市文信路261號,,24.8316943,121.0137989
3833051178,仁義中醫診所,私立中醫診所,中醫一般診所,新竹縣竹北市,03-6580357,新竹縣竹北市成功六街57號1樓,,24.8184776,121.020555
3833051203,安興中醫診所,私立中醫診所,中醫一般診所,新竹縣竹北市,5553718,新竹縣竹北市三民路407號,,24.834404,121.009445
3833051221,啟真中醫診所,私立中醫診所,中醫一般診所,新竹縣竹北市,5534034,新竹縣竹北市文信路362號,,24.8323902,121.0110709
3733051283,光明牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣竹北市,03-6685008,新竹縣竹北市文興路259號,,24.8055391,121.041511
3733051309,正霖牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣竹北市,03-6583511,新竹縣竹北市莊敬五街8號,,24.8213376,121.0262076
3733051327,禾睦牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣竹北市,03-5588823,新竹縣竹北市縣政二路155號,,24.8307291,121.017721
3733051345,微風牙醫診所,私立牙醫診所,牙醫診所,新竹縣竹北市,03-5589911,新竹縣竹北市縣政二路588號1、2樓,,24.8329809,121.0191749
3733051354,薏安牙醫診所,私立牙醫診所,牙醫診所,新竹縣竹北市,03-5585277,新竹縣竹北市光明1路190號,,24.8333426,120.9982671
3733051363,同心圓牙醫診所,私立牙醫診所,牙醫診所,新竹縣竹北市,03-5588468,新竹縣竹北市光明九路66號,,24.8249194,121.0101539
3733060031,延年牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣湖口鄉,35991871,新竹縣湖口鄉中央街３４號,,24.9015292,121.0471556
3733060059,曾牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣湖口鄉,35993556,新竹縣湖口鄉中正路一段１51號,,24.9008956,121.0471111
3733060077,羅牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣湖口鄉,35990890,新竹縣湖口鄉中正路一段１８５號,,24.9002476,121.0472649
3733060086,湖口周牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣湖口鄉,35997336,新竹縣湖口鄉達生路７２號,,24.9031633,121.0468587
3733060095,惠眾牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣湖口鄉,35997018,新竹縣湖口鄉中山路二段１３８號,,24.902107,121.044131
3733061118,新工牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣湖口鄉,03-5973983,新竹縣湖口鄉仁和路一０七號,,24.8747183,121.0118089
3733061172,哈佛牙醫診所,私立牙醫診所,牙醫診所,新竹縣湖口鄉,03-5906688,新竹縣湖口鄉中正路一段91號,,24.901991,121.046254
3733080015,高昇牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣新豐鄉,35594555,新竹縣新豐鄉福德街３４號,,24.8721952,120.9969668
3733080042,益民牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣新豐鄉,35597124,新竹縣新豐鄉新興路１５７號,,24.8674012,120.9933302
3733081101,尚品牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣新豐鄉,03-5577995,新竹縣新豐鄉建興路一段一０一之二號,,24.8703423,120.9962635
3733081110,明新牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣新豐鄉,03-5575505,新竹縣新豐鄉長春路3號,,24.8982559,120.9869168
3733090011,尚恩牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣芎林鄉,35925213,新竹縣芎林鄉文山路五二四號,,24.7773036,121.0777685
3733090020,尚格牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣芎林鄉,03 5927176,新竹縣芎林鄉文山路３８３號,,24.7752684,121.0803949
3733010013,樹德牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣關西鎮,35877866,新竹縣關西鎮中山路４２號,,24.7914899,121.1774088
3733010022,仁愛牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣關西鎮,35871228,新竹縣關西鎮中山路２１－１號,,24.7913433,121.1773167
3733010068,明德牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣關西鎮,03-5871861,新竹縣關西鎮明德路100之1號,,24.7935406,121.1764832
3733010077,昭和牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣關西鎮,03-5878157,新竹縣關西鎮明德路４３號,,24.792881,121.177995
3733020019,立民牙醫診所,私立牙醫診所,牙醫一般診所,新竹縣新埔鎮,35883557,新竹縣新埔鎮中正路５７０號,,24.8281476,121.075178
