機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3845011559,廣泰中醫診所,私立中醫診所,中醫一般診所,花蓮縣花蓮市,8355309,花蓮縣花蓮市中原路468號,,23.970582,121.5982154
3845011577,莊瓊貴中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市,03-8332277,花蓮縣花蓮市復興街126號,,23.9836492,121.6050097
3845011586,仁濟中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市,03-8356669,花蓮縣花蓮市中正路43號,,23.9694851,121.5953686
3845011595,國烈中醫診所,私立中醫診所,中醫診所,花蓮縣花蓮市,03-8315188,花蓮縣花蓮市商校街100號1樓,,23.9876703,121.603132
3845030018,杏林中醫診所,私立中醫診所,中醫一般診所,花蓮縣玉里鎮,03-8885582,花蓮縣玉里鎮光復路170號,,23.3315967,121.3128488
3845031033,廣修堂中醫診所,私立中醫診所,中醫一般診所,花蓮縣玉里鎮,8882211,花蓮縣玉里鎮中正路72號,,23.3332167,121.3159059
3845040514,嘉德中醫診所,私立中醫診所,中醫一般診所,花蓮縣新城鄉,03-8262192,花蓮縣新城鄉福德路1號,,24.0158592,121.6101108
3845050047,藍啟文中醫診所,私立中醫診所,中醫一般診所,花蓮縣吉安鄉,38362888,花蓮縣吉安鄉莊敬路２３５號,,23.990279,121.5929781
3845051071,黃世傑中醫診所,私立中醫診所,中醫一般診所,花蓮縣吉安鄉,8461161,花蓮縣吉安鄉建國路一段六一號,,23.9850297,121.5946331
3845051080,陳中醫診所,私立中醫診所,中醫一般診所,花蓮縣吉安鄉,03-8524635,花蓮縣吉安鄉中山路三段二七六號,,23.977922,121.57125
3845091020,廣濟堂中醫診所,私立中醫診所,中醫一般診所,花蓮縣瑞穗鄉,03-8876353,花蓮縣瑞穗鄉國光北路39號,,23.497642,121.379577
3845010025,順安堂內科中醫診所,私立中醫診所,中醫專科診所,花蓮縣花蓮市,38353638,花蓮縣花蓮市林森路266之1號,,23.982676,121.607773
3845010034,彭世銘中醫診所,私立中醫診所,中醫專科診所,花蓮縣花蓮市,38331603,花蓮縣花蓮市中山路８２５號,,23.993311,121.596295
3845010043,隆安中醫診所,私立中醫診所,中醫專科診所,花蓮縣花蓮市,38353087,花蓮縣花蓮市中山路５２３號,,23.9856934,121.6023833
3845010052,萬順外科中醫診所,私立中醫診所,中醫專科診所,花蓮縣花蓮市,03-8323817,花蓮縣花蓮市中山路76號,,23.9749509,121.6111422
3845010070,仁和堂中醫診所,私立中醫診所,中醫專科診所,花蓮縣花蓮市,03-8359603,花蓮縣花蓮市中山路314號,,23.9814143,121.6060505
3845010187,慈惠中醫診所,私立中醫診所,中醫專科診所,花蓮縣花蓮市,03-8359628,花蓮縣花蓮市中華路403號,,23.9744826,121.5938336
3845010203,同仁堂中醫診所,私立中醫診所,中醫一般診所,花蓮縣花蓮市,03-8345168,花蓮縣花蓮市建國路256號,,23.9844047,121.5996195
3845010230,陳逸光中醫診所,私立中醫診所,中醫專科診所,花蓮縣花蓮市,38579833,花蓮縣花蓮市富國路１０號,,23.9916545,121.5967657
3845010276,邱垂從中醫診所,私立中醫診所,中醫一般診所,花蓮縣花蓮市,03- 8355866,花蓮縣花蓮市中正路147號,,23.9712113,121.5979317
3845010338,松裕堂中醫診所,私立中醫診所,中醫一般診所,花蓮縣花蓮市,03-8328338,花蓮縣花蓮市中正路637號,,23.9793741,121.610395
3845010383,江國輝中醫師診所,私立中醫診所,中醫一般診所,花蓮縣花蓮市,03-8322831,花蓮縣花蓮市和平路四七一號,,23.9759868,121.601679
3845011380,圓緣中醫診所,私立中醫診所,中醫一般診所,花蓮縣花蓮市,03-8239559,花蓮縣花蓮市中美路113號,,23.9925072,121.6266384
3845011415,中信中醫診所,私立中醫診所,中醫一般診所,花蓮縣花蓮市,03-8328866,花蓮縣花蓮市林森路111號,,23.9770813,121.5984862
3845011531,原相中醫診所,私立中醫診所,中醫一般診所,花蓮縣花蓮市,03-8353151,花蓮縣花蓮市和平路332-2號,,23.9735463,121.6039643
3745070010,光復牙醫診所,私立牙醫診所,牙醫一般診所,花蓮縣光復鄉,38702566,花蓮縣光復鄉敦厚路8號,,23.6654788,121.4256796
3745071026,菁華牙醫診所,私立牙醫診所,牙醫一般診所,花蓮縣光復鄉,03-8701389,花蓮縣光復鄉中華路205號,,23.6669069,121.4230312
3745010176,蕭牙醫診所,私立牙醫診所,牙醫一般診所,花蓮縣花蓮市,38352567,花蓮縣花蓮市三民街42-2號,,23.9791795,121.609766
