機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
4102050013,和平醫療社團法人章玟琇中醫診所,醫療社團法人診所,中醫診所,高雄市三民區,07-3874234,高雄市三民區九如一路171號1樓,,22.636843,120.339442
4102071021,阮綜合醫療社團法人上順診所,醫療社團法人診所,西醫診所,高雄市前金區,07-2725227,高雄市前金區市中一路225號3樓,,22.6304356,120.28929
3842011931,立群中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7616908,高雄市鳳山區五甲二路365號,,22.5979704,120.336083
3842011940,長榮中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,8226874,高雄市鳳山區五甲二路566、568號,,22.5962746,120.3330117
3842012036,多寶中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7197883,高雄市鳳山區經武路二七一號,,22.6376559,120.3641857
3842012045,建安中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,8311119,高雄市鳳山區五甲二路五五三號,,22.59573,120.33175
3842012063,尚揚中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7775280,高雄市鳳山區文安街26號,,22.6424029,120.3478427
3842012214,心香中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7808308,高雄市鳳山區八德路二段222號,,22.6456292,120.352976
3842012232,順德中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7651256,高雄市鳳山區新富路292號1樓,,22.6126807,120.3418333
3842012250,甘草堂中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,7806262,高雄市鳳山區文化西路1號及3號1、2樓,,22.6348014,120.3496537
3842012367,齊祥中醫診所,私立中醫診所,中醫診所,高雄市鳳山區,07-7803333,高雄市鳳山區青年路二段269號,,22.6386582,120.3508044
3842010069,順安堂中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07 8228822,高雄市鳳山區忠誠路９３號,,22.5949749,120.3259004
3842010087,念慈堂中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07 7210472,高雄市鳳山區五甲二路338號1樓,,22.599714,120.33784
3842010096,信安中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7473527,高雄市鳳山區博愛路２４５號,,22.629359,120.3697959
3842010130,慶昌中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07 8316538,高雄市鳳山區五甲三路82號,,22.592388,120.326641
3842010247,鄭阿緞針灸科中醫診所,私立中醫診所,中醫專科診所,高雄市鳳山區,07 7422863,高雄市鳳山區建國路二段216號1樓,,22.636291,120.3585704
3842010381,福泉中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7474158,高雄市鳳山區光復路１７２號,,22.6290978,120.3566687
3842010443,福安堂中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7037167,高雄市鳳山區中山東路３３９號,,22.6269525,120.3767737
3842110073,元生中醫診所,私立中醫診所,中醫一般診所,高雄市橋頭區,07 6115379,高雄市橋頭區中正路16號,,22.7627422,120.3052042
3842111098,鴻仁中醫診所,私立中醫診所,中醫一般診所,高雄市橋頭區,07-6124599,高雄市橋頭區仕和里南溝路180號,,22.7515158,120.3068279
3842120024,蓮見中醫診所,私立中醫診所,中醫一般診所,高雄市燕巢區,07-6140267,高雄市燕巢區中民路626號1樓,,22.7933115,120.3606719
3842140026,宗德堂內科中醫診所,私立中醫診所,中醫專科診所,高雄市阿蓮區,07 6312247,高雄市阿蓮區阿蓮里中正路５１０號,,22.8806053,120.3309699
3842141087,廣明中醫診所,私立中醫診所,中醫一般診所,高雄市阿蓮區,935691791,高雄市阿蓮區忠孝路191號,,22.8788987,120.3293048
3842150013,進安堂中醫診所,私立中醫診所,中醫一般診所,高雄市路竹區,07 6972535,高雄市路竹區大社路92之1號1樓,,22.8638887,120.2629642
3842150068,王國樑中醫診所,私立中醫診所,中醫一般診所,高雄市路竹區,07 6967979,高雄市路竹區中正路１９７號－１號,,22.854586,120.2638756
3842150077,存德堂中醫診所,私立中醫診所,中醫一般診所,高雄市路竹區,07 6963556,高雄市路竹區中山路１175號,,22.8542176,120.2613578
3842151109,王英名中醫診所,私立中醫診所,中醫診所,高雄市路竹區,07-6976689,高雄市路竹區大社路73號1樓,,22.8635449,120.2624966
3842170015,明仁堂中醫診所,私立中醫診所,中醫專科診所,高雄市茄萣區,07 6908239,高雄市茄萣區茄萣路二段126號,,22.8993442,120.1832078
3842170024,吉安內眼科中醫診所,私立中醫診所,中醫一般診所,高雄市茄萣區,07 6901514,高雄市茄萣區金鑾路143巷18號,,22.8963777,120.1858114
3842170033,德恩堂中醫診所,私立中醫診所,中醫一般診所,高雄市茄萣區,07 6908035,高雄市茄萣區茄萣路一段292號,,22.8941684,120.1841875
3842170042,春源中醫診所,私立中醫診所,中醫專科診所,高雄市茄萣區,07 6900870,高雄市茄萣區茄萣路二段179號,,22.9006151,120.1830279
3842171085,萬福中醫診所,私立中醫診所,中醫診所,高雄市茄萣區,07-6900530,高雄市茄萣區白砂路131號,,22.9106659,120.1846371
3842201088,仙方中醫診所,私立中醫診所,中醫一般診所,高雄市梓官區,,高雄市梓官區城隍巷15號,,22.7594723,120.2678568
3842210514,至善中醫診所,私立中醫診所,中醫診所,高雄市六龜區,07-6894758,高雄市六龜區太平路59號,,22.9956291,120.6360135
3842230016,民生堂中醫診所,私立中醫診所,中醫一般診所,高雄市杉林區,,高雄市杉林區上平里山仙路２６－３號,,22.9733086,120.5408336
3842020029,協和中醫診所,私立中醫診所,中醫一般診所,高雄市岡山區,07 6219595,高雄市岡山區協和街４６號,,22.7954502,120.2819857
3842020074,六合中醫診所,私立中醫診所,中醫一般診所,高雄市岡山區,07 6252337,高雄市岡山區岡山路197號,,22.7916401,120.2960493
3842020083,莊進益中醫診所,私立中醫診所,中醫一般診所,高雄市岡山區,07 6232519,高雄市岡山區岡山里６鄰岡山路４９０號,,22.804168,120.2930943
3842020092,聖祐中醫診所,私立中醫診所,中醫一般診所,高雄市岡山區,07 6259906,高雄市岡山區壽華路118號,,22.7997757,120.292566
3842020118,陳瑞聰中醫診所,私立中醫診所,中醫一般診所,高雄市岡山區,07 6232675,高雄市岡山區中山南路462號,,22.790594,120.299511
3842021160,同仁堂中醫診所,私立中醫診所,中醫一般診所,高雄市岡山區,07-6213362,高雄市岡山區岡燕路60號,,22.7924423,120.2979501
3842021188,德隆中醫診所,私立中醫診所,中醫一般診所,高雄市岡山區,918160061,高雄市岡山區公園西路3段106號,,22.7937053,120.2844156
3842021204,茂盛中醫診所,私立中醫診所,中醫一般診所,高雄市岡山區,07-6259235,高雄市岡山區前峰路39之8號1樓,,22.7947024,120.288568
3842021222,博聖中醫診所,私立中醫診所,中醫一般診所,高雄市岡山區,07-6232702,高雄市岡山區大德一路90號,,22.7968659,120.3020196
3842030043,王鴻武中醫診所,私立中醫診所,中醫一般診所,高雄市旗山區,6612812,高雄市旗山區延平一路５17號,,22.8876857,120.4832563
3842030089,承德中醫診所,私立中醫診所,中醫一般診所,高雄市旗山區,07 6611325,高雄市旗山區延平一路２０５號1~2樓,,22.8954291,120.4837839
3842031111,一麟中醫診所,私立中醫診所,中醫一般診所,高雄市旗山區,07_6627510   6627516,高雄市旗山區延平一路145號,,22.8974852,120.4837517
3842031148,建宏中醫診所,私立中醫診所,中醫一般診所,高雄市旗山區,6623323,高雄市旗山區大同街21號,,22.8835451,120.4841686
3842040021,連康內傷科中醫診所,私立中醫診所,中醫專科診所,高雄市美濃區,07 6815322,高雄市美濃區泰安路13號,,22.901866,120.5379178
3842050036,陽明中醫診所,私立中醫診所,中醫一般診所,高雄市林園區,07 6413690,高雄市林園區信義路１２號,,22.5075088,120.3920164
3842050054,隆德中醫診所,私立中醫診所,中醫一般診所,高雄市林園區,07 6419667,高雄市林園區東林東路２５號,,22.5036788,120.3968544
3842051060,福昇中醫診所,私立中醫診所,中醫一般診所,高雄市林園區,6423884,高雄市林園區仁愛里東林西路122號,,22.5036937,120.3925926
3842051104,晉佑中醫診所,私立中醫診所,中醫診所,高雄市林園區,07-6450188,高雄市林園區鳳林路一段218號,,22.5069524,120.3966841
3842060023,玉安中醫診所,私立中醫診所,中醫一般診所,高雄市大寮區,02 7825730,高雄市大寮區鳳林四路１９６號,,22.6177314,120.3846876
3842060041,漢泰隆中醫診所,私立中醫診所,中醫一般診所,高雄市大寮區,07 7827828,高雄市大寮區鳳林三路７９９號,,22.612402,120.3908502
3842061084,大健康中醫診所,私立中醫診所,中醫一般診所,高雄市大寮區,,高雄市大寮區鳳林三路775、777號,,22.6120036,120.3911485
3842061100,宗漢中醫診所,私立中醫診所,中醫一般診所,高雄市大寮區,77810838,高雄市大寮區鳳林三路二十九、二十九之一、二十九之二號,,22.6023516,120.3972491
3842061164,順親堂中醫診所,私立中醫診所,中醫一般診所,高雄市大寮區,7011123,高雄市大寮區仁愛路１４０號,,22.6341768,120.3951507
3842071099,久曲堂中醫診所,私立中醫診所,中醫一般診所,高雄市大樹區,07-6512926,高雄市大樹區建村街104.106號,,22.6571304,120.4182123
3842081077,全真中醫診所,私立中醫診所,中醫診所,高雄市仁武區,3732025,高雄市仁武區仁雄路13之24號1-2樓,,22.6812142,120.3526135
3842081086,仁大中醫診所,私立中醫診所,中醫一般診所,高雄市仁武區,3722749,高雄市仁武區仁和街115、117號1樓,,22.7042617,120.3475032
3842081102,立安中醫診所,私立中醫診所,中醫診所,高雄市仁武區,3746551,高雄市仁武區中正路56號,,22.70132,120.3471096
3842081111,大彎中醫診所,私立中醫診所,中醫診所,高雄市仁武區,07-3757986,高雄市仁武區仁雄路92-6號,,22.6769947,120.3434303
3842090021,大安中醫診所,私立中醫診所,中醫一般診所,高雄市大社區,07 3531202,高雄市大社區中山路２號一樓,,22.7323435,120.3430019
3842091064,復生中醫診所,私立中醫診所,中醫一般診所,高雄市大社區,3520168,高雄市大社區三民路405號一樓,,22.7297701,120.3460998
3842100022,劉江霖中醫診所,私立中醫診所,中醫一般診所,高雄市鳥松區,07-7330173,高雄市鳥松區中山路162號,,22.6627889,120.3931692
3842100031,郭勇麟中醫診所,私立中醫診所,中醫一般診所,高雄市鳥松區,07-3791298,高雄市鳥松區本館路6號,,22.6478312,120.3465229
3842110019,曾承軒中醫診所,私立中醫診所,中醫一般診所,高雄市橋頭區,07 6118800,高雄市橋頭區成功路１１５號,,22.7585514,120.3099066
