機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3711071209,一品牙醫診所,私立牙醫診所,牙醫一般診所,基隆市信義區,(02)24237060,基隆市信義區義九路一號,,25.128526,121.756127
3711071218,仁心牙醫診所,私立牙醫診所,牙醫一般診所,基隆市信義區,(02)24235814,基隆市信義區信二路九十九之一號一樓,,25.1295058,121.7523696
3711071236,德安牙醫診所,私立牙醫診所,牙醫一般診所,基隆市信義區,(02)24275975,基隆市信義區義七路26巷1-4號,,25.1290417,121.7528901
3711071245,兆康牙醫診所,私立牙醫診所,牙醫診所,基隆市信義區,(02)24658798,基隆市信義區東信路78號,,25.1276627,121.7673562
3711040044,連牙醫診所,私立牙醫診所,牙醫一般診所,基隆市仁愛區,(02)24226000,基隆市仁愛區孝一路二十六號五樓,,25.128838,121.740455
3711040099,安生牙醫診所,私立牙醫診所,牙醫一般診所,基隆市仁愛區,02 4235130,基隆市仁愛區仁五路六號二樓,,25.1272009,121.741507
3711040151,良仁牙醫診所,私立牙醫診所,牙醫一般診所,基隆市仁愛區,02 4245588,基隆市仁愛區愛四路６８號２Ｆ,,25.129362,121.74457
3711040231,柏齡牙醫診所,私立牙醫診所,牙醫一般診所,基隆市仁愛區,(02)24240899,基隆市仁愛區孝一路５５號２Ｆ,,25.130086,121.741129
3711040259,安泰牙醫診所,私立牙醫診所,牙醫一般診所,基隆市仁愛區,02 4291828,基隆市仁愛區愛三路１４號,,25.1272943,121.742138
3711040295,許勝棋牙醫診所,私立牙醫診所,牙醫一般診所,基隆市仁愛區,(02)24227148,基隆市仁愛區孝三路８２號２Ｆ,,25.130778,121.74001
3711040357,超群牙醫診所,私立牙醫診所,牙醫一般診所,基隆市仁愛區,02 4263863,基隆市仁愛區南榮路三號二樓,,25.1270869,121.7421652
3711041416,滕起民牙醫診所,私立牙醫診所,牙醫一般診所,基隆市仁愛區,(02)24291123,基隆市仁愛區仁三路13號2樓 (診所使用範圍2F~3F),,25.12795,121.743871
3711041425,駱明德牙醫診所,私立牙醫診所,牙醫診所,基隆市仁愛區,(02)24245190,基隆市仁愛區仁二路208號之1(2F),,25.1289624,121.7445305
3711041434,國泰牙醫診所,私立牙醫診所,牙醫一般診所,基隆市仁愛區,(02)24282866,基隆市仁愛區仁二路91號,,25.127476,121.748787
3711041443,承成牙醫診所,私立牙醫診所,牙醫一般診所,基隆市仁愛區,(02)24291493,基隆市仁愛區仁一路277號4樓,,25.1283599,121.747361
3711041452,光華牙醫診所,私立牙醫診所,牙醫一般診所,基隆市仁愛區,(02)24339461,基隆市仁愛區成功一路119號及121號1樓,,25.1187161,121.7451927
3711041489,成美牙醫診所,私立牙醫診所,牙醫一般診所,基隆市仁愛區,2422-1123,基隆市仁愛區仁四路14號,,25.1276573,121.7426912
3711041498,其筠牙醫診所,私立牙醫診所,牙醫診所,基隆市仁愛區,24237890,基隆市仁愛區南新街57號,,25.1237663,121.7438201
3711050013,日榮牙科診所,私立牙醫診所,牙醫一般診所,基隆市中山區,(02)24287294,基隆市中山區安一路６號,,25.131632,121.737469
3711050040,北大牙醫診所,私立牙醫診所,牙醫一般診所,基隆市中山區,(02)24267824,基隆市中山區復旦路１７-４號,,25.145757,121.739054
3711050059,協和牙醫診所,私立牙醫診所,牙醫一般診所,基隆市中山區,(02)24257113,基隆市中山區中華路５９號,,25.1463869,121.73838
3711050095,許牙科診所,私立牙醫診所,牙醫一般診所,基隆市中山區,(02)24224872,基隆市中山區西定路３６號,,25.1323241,121.735532
3711050102,隆源牙科診所,私立牙醫診所,牙醫一般診所,基隆市中山區,(02)24283858,基隆市中山區西定路７號,,25.1319729,121.7352467
3711050111,德和牙醫診所,私立牙醫診所,牙醫一般診所,基隆市中山區,(02)24220496,基隆市中山區西定路４４３號,,25.1402259,121.728079
3711050120,中山牙醫診所,私立牙醫診所,牙醫一般診所,基隆市中山區,(02)24250430,基隆市中山區中山一路19號,,25.130326,121.736783
3711050148,展望牙醫診所,私立牙醫診所,牙醫一般診所,基隆市中山區,(02)24234106,基隆市中山區安一路二號二樓,,25.1315238,121.7375283
3711050166,金華牙醫診所,私立牙醫診所,牙醫一般診所,基隆市中山區,(02)24223647,基隆市中山區中山二路６５巷７號,,25.138131,121.740192
3711050175,永吉牙醫診所,私立牙醫診所,牙醫一般診所,基隆市中山區,(02)24367767,基隆市中山區復興路一百八十五號,,25.146184,121.72621
3711051261,禾安牙醫診所,私立牙醫診所,牙醫診所,基隆市中山區,(02)24225327,基隆市中山區西定路153號2樓,,25.1347889,121.734108
3711060108,宏福牙醫診所,私立牙醫診所,牙醫一般診所,基隆市安樂區,(02)24325085,基隆市安樂區安樂路二段１４５號,,25.1213139,121.724197
3711060162,欣隆牙醫診所,私立牙醫診所,牙醫一般診所,基隆市安樂區,(02)24335151,基隆市安樂區麥金路197號2樓,,25.121285,121.7214144
3711060171,亞德牙醫診所,私立牙醫診所,牙醫一般診所,基隆市安樂區,(02)24311000,基隆市安樂區樂利三街二巷九號,,25.1291756,121.7196298
3711061187,健翔牙醫診所,私立牙醫診所,牙醫一般診所,基隆市安樂區,(02)24301867,基隆市安樂區武嶺街八十九號,,25.1399493,121.7109738
3711070122,新大牙醫診所,私立牙醫診所,牙醫一般診所,基隆市信義區,(02)24653846,基隆市信義區東明路１５９－１號一樓,,25.127724,121.760148
3711070159,優美牙醫診所,私立牙醫診所,牙醫一般診所,基隆市信義區,(02)24656636,基隆市信義區東信路１８８號,,25.1283564,121.7637027
3711070168,金石牙醫診所,私立牙醫診所,牙醫一般診所,基隆市信義區,(02)24225020,基隆市信義區信二路二十四之三號,,25.1295058,121.7523696
3711010037,謝牙醫診所,私立牙醫診所,牙醫一般診所,基隆市中正區,(02)24239289,基隆市中正區義二路６６號二樓,,25.1318141,121.7460267
3711010055,蘇牙科診所,私立牙醫診所,牙醫一般診所,基隆市中正區,(02)24626886,基隆市中正區中正路２１５號,,25.1433423,121.7611463
3711010064,資生堂牙醫診所,私立牙醫診所,牙醫一般診所,基隆市中正區,(02)24260800,基隆市中正區義二路84號1樓,,25.1321666,121.7462582
3711010091,勝斌牙醫診所,私立牙醫診所,牙醫一般診所,基隆市中正區,(02)24691338,基隆市中正區八斗街１號,,25.1401202,121.7961794
3711010108,新雅牙醫診所,私立牙醫診所,牙醫一般診所,基隆市中正區,(02)24620128,基隆市中正區祥豐街１１號,,25.1417352,121.7609355
3711010144,達美牙醫診所,私立牙醫診所,牙醫一般診所,基隆市中正區,(02)24236316,基隆市中正區義二路８３號２Ｆ,,25.1324236,121.7461911
3711010171,佳暉牙醫診所,私立牙醫診所,牙醫一般診所,基隆市中正區,(02)24622891,基隆市中正區祥豐街１００號,,25.142416,121.7647149
3711010199,新光牙醫診所,私立牙醫診所,牙醫一般診所,基隆市中正區,(02)24292205,基隆市中正區義二路164號之1、正義路29巷11號之4,,25.1340133,121.747467
3711011267,鼎泰牙醫診所,私立牙醫診所,牙醫一般診所,基隆市安樂區,(02)34012999,基隆市安樂區基金一路202號1樓,,25.1417193,121.7102307
3711011285,新豐牙醫診所,私立牙醫診所,牙醫診所,基隆市中正區,(02)24690701,基隆市中正區新豐街323巷19號,,25.1352279,121.7863792
3711020024,楊牙醫診所,私立牙醫診所,牙醫一般診所,基隆市七堵區,02 4567638,基隆市七堵區明德一路186-1號1樓,,25.0975169,121.7131496
3711020033,永生牙醫診所,私立牙醫診所,牙醫一般診所,基隆市七堵區,(02)24562425,基隆市七堵區南興路６６?５號２Ｆ,,25.0969568,121.7133258
3711020060,永全牙醫診所,私立牙醫診所,牙醫一般診所,基隆市七堵區,(02)24563889,基隆市七堵區明德一路１３４號,,25.098511,121.715647
3711020131,百福牙醫診所,私立牙醫診所,牙醫一般診所,基隆市七堵區,(02)24514436,基隆市七堵區福二街２４２巷２號,,25.0844603,121.6962663
3711020168,益生牙醫診所,私立牙醫診所,牙醫一般診所,基隆市七堵區,(02)24561227,基隆市七堵區自治北街十五號,,25.097563,121.712098
3711021174,立仁牙醫診所,私立牙醫診所,牙醫一般診所,基隆市七堵區,(02)24569558,基隆市七堵區開元路七十一號,,25.0959616,121.7134226
3711030011,長春牙醫診所,私立牙醫診所,牙醫一般診所,基隆市暖暖區,(02)24576083,基隆市暖暖區源遠路２２７號,,25.0986797,121.7537821
3711031063,正榮牙醫診所,私立牙醫診所,牙醫一般診所,基隆市暖暖區,(02)24572026,基隆市暖暖區暖暖街215號,,25.0985652,121.7352005
3711040017,慶壽牙科診所,私立牙醫診所,牙醫一般診所,基隆市仁愛區,02 4236435,基隆市仁愛區劉銘傳路４１號,,25.1269541,121.7510218
3711040026,永年牙科診所,私立牙醫診所,牙醫一般診所,基隆市仁愛區,(02)4261706,基隆市仁愛區孝三路３１號,,25.129298,121.738531
3811011349,邵秉家中醫診所,私立中醫診所,中醫一般診所,基隆市中正區,(02)24277296,基隆市中正區義一路十五號一樓,,25.132564,121.7452569
3811011394,天仁中醫診所,私立中醫診所,中醫診所,基隆市中正區,(02)24232055,基隆市中正區信一路159巷6號(1F),,25.130226,121.746124
3811020035,阿蔓中醫診所,私立中醫診所,中醫一般診所,基隆市七堵區,(02)24566859,基隆市七堵區崇智街１０號,,25.0983712,121.7143422
3811020044,佳緣中醫診所,私立中醫診所,中醫一般診所,基隆市七堵區,(02)24568827,基隆市七堵區明德一路６１號,,25.0985636,121.7165451
3811021176,蓁禾中醫診所,私立中醫診所,中醫一般診所,基隆市七堵區,(02)24523998,基隆市七堵區福一街127號,,25.0839284,121.6946752
3811021185,鈺峰中醫診所,私立中醫診所,中醫診所,基隆市七堵區,(02)24529191,基隆市七堵區百三街106號 (1F),,25.0817861,121.6973995
3811030013,華碇中醫診所,私立中醫診所,中醫一般診所,基隆市暖暖區,(02)24591541,基隆市暖暖區源遠路二二三號,,25.0987465,121.753907
3811030022,佛生中醫診所,私立中醫診所,中醫一般診所,基隆市暖暖區,2458-6006,基隆市暖暖區暖暖街八十九號一樓,,25.1019146,121.7383352
3811040019,一元堂中醫診所,私立中醫診所,中醫一般診所,基隆市仁愛區,(02)24338790,基隆市仁愛區成功一路一百二十五號,,25.1277946,121.7366431
3811040073,聯合中醫診所,私立中醫診所,中醫一般診所,基隆市仁愛區,(02)24282669,基隆市仁愛區孝二路１０號,,25.1280679,121.739233
3811040144,良德堂中醫診所,私立中醫診所,中醫一般診所,基隆市仁愛區,02 4274987,基隆市仁愛區南榮路２９號１Ｆ，２Ｆ,,25.1268044,121.7426173
3811041356,李金澤中醫診所,私立中醫診所,中醫診所,基隆市仁愛區,(02)24220707,基隆市仁愛區愛一路26號2樓,,25.1290719,121.7413643
3811041365,逍遙中醫診所,私立中醫診所,中醫一般診所,基隆市仁愛區,(02)24221200,基隆市仁愛區忠二路55-2號,,25.130548,121.739007
3811051101,明觀現代科學中醫診所,私立中醫診所,中醫一般診所,基隆市中山區,(02)24216166,基隆市中山區西定路一五八號,,25.135061,121.734264
3811060039,同德中醫診所,私立中醫診所,中醫診所,基隆市安樂區,(02)24337719,基隆市安樂區基金一路131之23號 (1F),,25.1399289,121.7124826
3811071158,廣安中醫診所,私立中醫診所,中醫診所,基隆市信義區,(02)24256098,基隆市信義區義七路26巷4號,,25.1288943,121.7530914
3811010084,慈恩中醫診所,私立中醫診所,中醫一般診所,基隆市中正區,(02)24601880,基隆市中正區新豐街五○六號,,25.1354743,121.7849779
3811010100,陳字斌中醫診所,私立中醫診所,中醫一般診所,基隆市中正區,(02)24283080,基隆市中正區義二路１３３號,,25.1336426,121.7470205
3511050215,蔡敬山診所,私立西醫診所,西醫專科診所,基隆市中山區,(02)24246155,基隆市中山區西定路４１號１樓,"內科,",25.1327212,121.7352081
3511050224,李筱隆耳鼻喉科診所,私立西醫診所,西醫專科診所,基隆市中山區,902)24254198,基隆市中山區安一路六十三號,"耳鼻喉科,",25.1314575,121.7361644
3511050297,何朝榮診所,私立西醫診所,西醫醫務室,基隆市中山區,(02)24374420,基隆市中山區復興路一百七十六號,"兒科,",25.145328,121.726895
3511050313,親親診所,私立西醫診所,西醫醫務室,基隆市中山區,(02)24374880,基隆市中山區復興路一百七十九號,,25.14573,121.726426
3511050359,春安診所,私立西醫診所,西醫醫務室,基隆市中山區,(02)24371950,基隆市中山區中和路一六八巷五弄十四號,"家庭醫學科,",25.1495892,121.7169899
3511050368,林文毅婦產科診所,私立西醫診所,西醫專科診所,基隆市中山區,(02)24288818,基隆市中山區安一路27號 (1F、2F),"婦產科,",25.1314353,121.7369533
3511051427,復興診所,私立西醫診所,西醫醫務室,基隆市中山區,(02)24378911,基隆市中山區復興路一二五號,,25.145365,121.72631
3511051454,仁傑小兒專科診所,私立西醫診所,西醫專科診所,基隆市中山區,(02)24254123,基隆市中山區安一路49號,"兒科,",25.131255,121.736479
3511051481,聖德診所,私立西醫診所,西醫醫務室,基隆市中山區,(02)24293939,基隆市中山區西定路411號,"家庭醫學科,",25.139235,121.729151
3511051490,張春雄診所,私立西醫診所,西醫醫務室,基隆市中山區,(02)24263358,基隆市中山區中山二路59號,,25.1381358,121.7404224
3511051507,安定診所,私立西醫診所,西醫診所,基隆市中山區,(02)24213279,基隆市中山區安一路90號,"家庭醫學科,兒科,",25.131685,121.735749
3511060159,李卓為診所,私立西醫診所,西醫專科診所,基隆市安樂區,(02)24332900,基隆市安樂區基金一路一三三之五號一樓,"內科,",25.1402859,121.7114471
3511060202,濟仁診所,私立西醫診所,西醫醫務室,基隆市安樂區,(02)24333416,基隆市安樂區基金一路１３１之１９號,,25.1400746,121.7122285
3511061307,永安診所,私立西醫診所,西醫醫務室,基隆市安樂區,(02)24259947,基隆市安樂區安一路101號,,25.131792,121.734894
3511061343,泓翔耳鼻喉科診所,私立西醫診所,西醫醫務室,基隆市安樂區,(02)24301268,基隆市安樂區基金一路206之2號(1F),"耳鼻喉科,",25.1417724,121.7076996
3511070048,仁恩診所,私立西醫診所,西醫醫務室,基隆市信義區,(02)24656136,基隆市信義區東信路６９號,,25.1276744,121.7653853
3511070066,洪瑞麟診所,私立西醫診所,西醫醫務室,基隆市信義區,(02)24651581,基隆市信義區東明路９８號,,25.1278543,121.7603095
3511070182,王式鴻診所,私立西醫診所,西醫醫務室,基隆市信義區,(02)24665050,基隆市信義區東信路304號,,25.1286791,121.760836
3511070191,黃振國診所,私立西醫診所,西醫醫務室,基隆市信義區,(02)24669255,基隆市信義區東信路二百一十八號,,25.1281679,121.762853
3511070217,譚景文婦產科診所,私立西醫診所,西醫專科診所,基隆市信義區,(02)24242688,基隆市信義區信二路267號1、2樓,"婦產科,",25.1302619,121.7475398
3511071232,康美耳鼻喉科診所,私立西醫診所,西醫專科診所,基隆市信義區,(02)24666572,基隆市信義區深溪路139號1樓. 2樓後半段. 3樓,"耳鼻喉科,",25.1345569,121.7825216
3511040308,何宗斌診所,私立西醫診所,西醫醫務室,基隆市仁愛區,02 4266296,基隆市仁愛區南榮路一百八十五號一樓,,25.1237354,121.7430387
3511040326,游興讓婦產科診所,私立西醫診所,西醫醫務室,基隆市仁愛區,(02)24229407,基隆市仁愛區忠二路６７號,"婦產科,",25.1307438,121.7385919
3511040335,林內兒科診所,私立西醫診所,西醫醫務室,基隆市仁愛區,02 4277326,基隆市仁愛區仁五路11號,"內科,兒科,",25.12691,121.741311
3511040380,健安婦產科診所,私立西醫診所,西醫醫務室,基隆市仁愛區,(02)24244543,基隆市仁愛區仁二路７８號,"婦產科,",25.1276439,121.7485217
3511040399,東大診所,私立西醫診所,西醫醫務室,基隆市仁愛區,(02)24232992,基隆市仁愛區忠二路４７號,"內科,兒科,",25.130356,121.739253
3511040406,陳正時婦產科診所,私立西醫診所,西醫專科診所,基隆市仁愛區,02 4223388,基隆市仁愛區愛四路２巷１號,"婦產科,",25.1275379,121.7432231
3511040479,李任堅小兒科診所,私立西醫診所,西醫專科診所,基隆市仁愛區,(02)24269096,基隆市仁愛區孝一路８６號,"兒科,",25.129288,121.740961
3511040488,黃勝雄診所,私立西醫診所,西醫專科診所,基隆市仁愛區,(02)24220470,基隆市仁愛區南榮路一一五號,,25.1253368,121.7430476
3511040497,楊外骨科診所,私立西醫診所,西醫診所,基隆市仁愛區,(02)24257163,基隆市仁愛區仁二路二十一號 一、二樓,"家庭醫學科,內科,外科,骨科,",25.1274699,121.7503205
3511040513,林耳鼻咽喉科診所,私立西醫診所,西醫專科診所,基隆市仁愛區,(02)24229646,基隆市仁愛區忠二路３之１４號,"耳鼻喉科,",25.129697,121.740567
3511040531,資耳鼻喉科診所,私立西醫診所,西醫專科診所,基隆市仁愛區,02 4228966,基隆市仁愛區仁一路261之2號,"耳鼻喉科,",25.1282495,121.748373
3511040568,光明眼科診所,私立西醫診所,西醫專科診所,基隆市仁愛區,02 4291860,基隆市仁愛區愛三路５７號５Ｆ,"眼科,",25.128599,121.7425835
3511040577,汪國燦內科診所,私立西醫診所,西醫專科診所,基隆市仁愛區,(02)24271848,基隆市仁愛區孝二路６５號一Ｆ,"內科,",25.1296728,121.7398895
3511040620,洪診所,私立西醫診所,西醫醫務室,基隆市仁愛區,(02)24223229,基隆市仁愛區孝三路１０５號,,25.1310849,121.739737
3511040639,王孟俊診所,私立西醫診所,西醫醫務室,基隆市仁愛區,(02)24293128,基隆市仁愛區南榮路一四三號,"家庭醫學科,",25.1246414,121.7430503
3511040648,平民泌尿皮膚科診所,私立西醫診所,西醫專科診所,基隆市仁愛區,(02)24225859,基隆市仁愛區愛一路４８－１號,"泌尿科,皮膚科,",25.1302667,121.7417217
3511040666,魏心臟科診所,私立西醫診所,西醫專科診所,基隆市仁愛區,02 4283579,基隆市仁愛區仁二路八十八號,"內科,",25.1277398,121.748284
3511040684,王大夫診所,私立西醫診所,西醫醫務室,基隆市仁愛區,02 4231731,基隆市仁愛區南榮路43號,"內科,",25.1265539,121.742773
3511040700,盧耳鼻喉科診所,私立西醫診所,西醫專科診所,基隆市仁愛區,(02)24224052,基隆市仁愛區仁二路１５４號１．２樓,"耳鼻喉科,",25.1282754,121.7457875
3511040764,羅杰診所,私立西醫診所,西醫醫務室,基隆市仁愛區,02 4292288,基隆市仁愛區基隆市愛三路１２０號,,25.1297063,121.7436897
3511040782,恆生診所,私立西醫診所,西醫專科診所,基隆市仁愛區,(02)24292288,基隆市仁愛區愛三路１２０號三樓,"內科,",25.1297063,121.7436897
3511040791,孫皮膚科診所,私立西醫診所,西醫專科診所,基隆市仁愛區,02 4292288,基隆市仁愛區基隆市愛三路１２０號三樓,"皮膚科,",25.1297063,121.7436897
3511040826,兆光診所,私立西醫診所,西醫專科診所,基隆市仁愛區,(02)24279540,基隆市仁愛區忠四路31號,"外科,",25.128354,121.7389963
3511040844,張茂雄診所,私立西醫診所,西醫醫務室,基隆市仁愛區,(02)24248136,基隆市仁愛區忠一路1號(1F),,25.1304239,121.741396
3511040862,廖曉俊診所,私立西醫診所,西醫醫務室,基隆市仁愛區,224251525,基隆市仁愛區延平街二號,,25.127308,121.748465
3511040871,王順水小兒科診所,私立西醫診所,西醫醫務室,基隆市仁愛區,02 24201733,基隆市仁愛區仁二路五十六號,"兒科,",25.1278363,121.7495563
3511040942,王俊傑耳鼻喉科診所,私立西醫診所,西醫專科診所,基隆市仁愛區,2425-3660,基隆市仁愛區仁二路117號,"耳鼻喉科,",25.1274013,121.7480457
3511040988,安基診所,私立西醫診所,西醫專科診所,基隆市仁愛區,(02)24272345,基隆市仁愛區愛五路三十四號五樓,"內科,",25.1288877,121.7460553
3511041001,安東耳鼻喉科診所,私立西醫診所,西醫醫務室,基隆市仁愛區,24266766,基隆市仁愛區仁二路二五一號一樓,"耳鼻喉科,",25.129585,121.742715
3511041047,懷仁診所,私立西醫診所,西醫診所,基隆市仁愛區,(02)24223597,基隆市仁愛區仁五路10號 (1F),,25.1265307,121.7422013
