機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3890010020,弘恩中醫診所,私立中醫診所,中醫一般診所,金門縣金城鎮,82323705,金門縣金城鎮民生路１５－３號,,24.4340514,118.3198111
3890011036,廣濟中醫診所,私立中醫診所,中醫一般診所,金門縣金城鎮,82325915,金門縣金城鎮浯江路19號,,24.426086,118.3255764
3790011043,民生牙醫診所,私立牙醫診所,牙醫一般診所,金門縣金城鎮,﹙082﹚311899,金門縣金城鎮民生路67號,,24.4362074,118.31877
3790011052,大安牙醫聯合診所,私立牙醫診所,牙醫專科診所,金門縣金城鎮,,金門縣金城鎮民生路２４號,,24.4345894,118.3195933
3790020515,建中牙醫診所,私立牙醫診所,牙醫一般診所,金門縣金沙鎮,(082)354178,金門縣金沙鎮汶沙五福路30號,,24.4880251,118.4135363
3590011209,王文君小兒科家庭醫學科診所,私立西醫診所,西醫專科診所,金門縣金城鎮,082-373938,金門縣金城鎮北門里176、178號,"家庭醫學科,兒科,",24.4357166,118.3242778
3590011218,吾家診所,私立西醫診所,西醫專科診所,金門縣金城鎮,082-320006    375899,金門縣金城鎮金城富康一村一巷12號,"家庭醫學科,內科,",24.4320647,118.3155101
3590011236,佑城診所,私立西醫診所,西醫診所,金門縣金城鎮,082-372777,金門縣金城鎮民生路北門里              27巷2號,,24.432653,118.3205303
3590021054,重成診所,私立西醫診所,西醫醫務室,金門縣金沙鎮,﹙082﹚351199,金門縣金沙鎮五福街二十三號,,24.4880633,118.413417
3590010060,陳耳鼻喉科診所,私立西醫診所,西醫專科診所,金門縣金城鎮,82325199,金門縣金城鎮民生路六十一號,"耳鼻喉科,",24.4360676,118.3188388
3590011101,長庚林小兒科,私立西醫診所,西醫專科診所,金門縣金城鎮,(082)373505,金門縣金城鎮民生路9-4號,"兒科,",24.4337938,118.3199345
3590011110,李月娥家醫科婦產科診所,私立西醫診所,西醫專科診所,金門縣金城鎮,373434,金門縣金城鎮中興市場路161巷23號1樓,"家庭醫學科,婦產科,",24.4113998,118.3169714
3590011156,佑明診所,私立西醫診所,西醫醫務室,金門縣金城鎮,312210,金門縣金城鎮民生路四十號,,24.43524,118.3192729
3590011192,陳毅書皮膚科診所,私立西醫診所,西醫專科診所,金門縣金城鎮,082-326787,金門縣金城鎮珠浦北路5巷12弄13號,"皮膚科,",24.4328238,118.3198836
2390010010,金門縣金城鎮衛生所,衛生所,衛生所,金門縣金城鎮,82325209,金門縣金城鎮民權路一四七號,"家庭醫學科,",24.4364032,118.3177215
2390020016,金沙鎮衛生所,衛生所,衛生所,金門縣金沙鎮,82352854,金門縣金沙鎮三民路十六號,,24.4895889,118.4130815
3790030017,盧冠宇牙醫診所,私立牙醫診所,牙醫一般診所,金門縣金湖鎮,082-336986,金門縣金湖鎮新市里中正路4號,,24.4403594,118.4168044
3790011114,永鑫牙醫診所,私立牙醫診所,牙醫診所,金門縣金城鎮,320777,金門縣金城鎮環島西路一段101號,,24.4277267,118.3214318
3790011132,大千牙醫診所,私立牙醫診所,牙醫診所,金門縣金城鎮,082-322023,金門縣金城鎮民權路23號,,24.431519,118.3136924
3590011272,金城診所,私立西醫診所,西醫診所,金門縣金城鎮,082-320133,金門縣金城鎮民族路64-2號1樓,"兒科,",24.4305749,118.3198976
3590040013,陳水湖診所,私立西醫診所,西醫診所,金門縣金寧鄉,082-321906,金門縣金寧鄉仁愛新村131號,"家庭醫學科,兒科,",24.4565774,118.3058515
3590011281,安仁家醫科內科診所,私立西醫診所,西醫診所,金門縣金城鎮,082-372065、323873,金門縣金城鎮民權路141號,"家庭醫學科,內科,",24.4362224,118.3175499
190030516,衛生福利部金門醫院,部立及直轄市立醫院,醫院,金門縣金湖鎮,082-332546-1201,金門縣金湖鎮復興路2號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,急診醫學科,",24.4406944,118.4200874
2390040518,金門縣金寧鄉衛生所,衛生所,衛生所,金門縣金寧鄉,（082）325735,金門縣金寧鄉盤山村仁愛新?2之1號,"內科,",24.4467932,118.3432727
3590010033,大眾診所,私立西醫診所,西醫醫務室,金門縣金城鎮,82323466,金門縣金城鎮民族路20號,"內科,",24.43085,118.3207973
3590010097,蔡建鑫小兒科家醫科診所,私立西醫診所,西醫專科診所,金門縣金城鎮,82372000,金門縣金城鎮民生路１３號１樓,"家庭醫學科,兒科,",24.4337938,118.3199345
3590011147,惠明眼科診所,私立西醫診所,西醫專科診所,金門縣金城鎮,82320200,金門縣金城鎮民生路20號,"眼科,",24.4344432,118.3196636
3790011034,千禧牙醫診所,私立牙醫診所,牙醫一般診所,金門縣金城鎮,373601,金門縣金城鎮南門里9鄰民族路167號,,24.4326576,118.3125875
3790031036,許耀人牙醫診所,私立牙醫診所,牙醫一般診所,金門縣金湖鎮,082-335071,金門縣金湖鎮黃海路37號,,24.4434584,118.4151376
2390050032,金門縣烈嶼鄉衛生所,衛生所,衛生所,金門縣烈嶼鄉,082-362078,金門縣烈嶼鄉西口村西方6-5號,"家庭醫學科,",24.4409681,118.2380432
3890040019,豐元中醫診所,私立中醫診所,中醫診所,金門縣金寧鄉,082-373409,金門縣金寧鄉仁愛新?139號,,24.4565774,118.3058515
3790040526,人人牙醫診所,私立牙醫診所,牙醫診所,金門縣金寧鄉,082-328099,金門縣金寧鄉伯玉路二段223-2號,,24.4405776,118.3381594
3590030526,彭小兒科診所,私立西醫診所,西醫診所,金門縣金湖鎮,082-330156,金門縣金湖鎮新湖里5鄰市港路48號,"兒科,",24.4325261,118.4133894
