機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3835050053,惠民中醫診所,私立中醫診所,中醫一般診所,苗栗縣頭份市,37660862,苗栗縣頭份市頭份里８鄰中正路２１６號,,24.6907872,120.9173479
3835050062,陽明中醫診所,私立中醫診所,中醫一般診所,苗栗縣頭份市,37671445,苗栗縣頭份市興華里１０鄰中正一路８５號,,24.6884438,120.9024836
3835050099,科學中醫診所,私立中醫診所,中醫一般診所,苗栗縣頭份市,37665592,苗栗縣頭份市中華路９２１號,,24.683667,120.905554
3835051130,林嘉發全方位中醫診所,私立中醫診所,中醫一般診所,苗栗縣頭份市,037-691168,苗栗縣頭份市東庄里18鄰東民路175號2樓,,24.6880036,120.8943892
3835051176,大安堂中醫診所,私立中醫診所,中醫一般診所,苗栗縣頭份市,037-660242,苗栗縣頭份市信東路57號,,24.6866418,120.9113612
3835051185,正中華中醫診所,私立中醫診所,中醫一般診所,苗栗縣頭份市,688219,苗栗縣頭份市中華路1121號,,24.6876671,120.910345
3835051210,康福中醫診所,私立中醫診所,中醫診所,苗栗縣頭份市,681501,苗栗縣頭份市和平路43號1樓,,24.684253,120.9076817
3835070028,永德堂中醫診所,私立中醫診所,中醫一般診所,苗栗縣卓蘭鎮,04-25895228,苗栗縣卓蘭鎮民權路二十七號,,24.311243,120.827771
3835080015,六安堂中醫診所,私立中醫診所,中醫一般診所,苗栗縣大湖鄉,37991155,苗栗縣大湖鄉中華路４鄰５號,,24.4231993,120.8674614
3835081021,天成中醫診所,私立中醫診所,中醫一般診所,苗栗縣大湖鄉,037-996226,苗栗縣大湖鄉中正路101號,,24.4226873,120.8662944
3835091063,慈祐中醫診所,私立中醫診所,中醫一般診所,苗栗縣公館鄉,231388,苗栗縣公館鄉大同路91號1樓,,24.5003691,120.8278751
3835010086,吳家熙中醫診所,私立中醫診所,中醫一般診所,苗栗縣苗栗市,37337139,苗栗縣苗栗市大同里６鄰中山路８１４號,,24.555603,120.8104098
3835010175,錦昌中醫診所,私立中醫診所,中醫一般診所,苗栗縣苗栗市,37322883,苗栗縣苗栗市大同路124號,,24.5518849,120.8152819
3835010200,郭豐演中醫診所,私立中醫診所,中醫一般診所,苗栗縣苗栗市,37354705,苗栗縣苗栗市府前路81號,,24.5614938,120.8197189
3835010228,大德中醫診所,私立中醫診所,中醫一般診所,苗栗縣苗栗市,37357583,苗栗縣苗栗市北苗里8鄰橫車路85號,,24.5735335,120.8226155
3835011243,京鼎中醫聯合診所,私立中醫診所,中醫一般診所,苗栗縣苗栗市,037-366876,苗栗縣苗栗市中山路六六二號,,24.556508,120.818475
3835011261,彭千芸中醫診所,私立中醫診所,中醫一般診所,苗栗縣苗栗市,356275,苗栗縣苗栗市天雲街17號,,24.5521563,120.8166946
3835011289,保生堂中醫診所,私立中醫診所,中醫一般診所,苗栗縣苗栗市,037-327759,苗栗縣苗栗市大同路130號,,24.5517377,120.81531
3835011369,林基石中醫診所,私立中醫診所,中醫一般診所,苗栗縣苗栗市,(037)377911,苗栗縣苗栗市玉清路39號,,24.563745,120.827825
3835011412,梧桐中醫診所,私立中醫診所,中醫診所,苗栗縣苗栗市,275588,苗栗縣苗栗市北苗里19鄰正發路27號1樓,,24.5735335,120.8226155
3835011430,昆賢中醫診所,私立中醫診所,中醫一般診所,苗栗縣苗栗市,260918,苗栗縣苗栗市為公路81號1樓,,24.570369,120.824757
3835020064,一品堂中醫診所,私立中醫診所,中醫一般診所,苗栗縣苑裡鎮,37869518,苗栗縣苑裡鎮信義路48號1樓,,24.4418951,120.6546379
3835021098,荃春中醫診所,私立中醫診所,中醫一般診所,苗栗縣苑裡鎮,037_856607,苗栗縣苑裡鎮新興路三十五巷六號,,24.4409426,120.6514994
3835021141,漢昌中醫診所,私立中醫診所,中醫診所,苗栗縣苑裡鎮,037-852118,苗栗縣苑裡鎮為公路11號1樓,,24.4419944,120.655088
3835031058,賢明中醫診所,私立中醫診所,中醫診所,苗栗縣通霄鎮,037-765500,苗栗縣通霄鎮中正路32號1樓,,24.4902606,120.681368
3835040020,神農中醫診所,私立中醫診所,中醫一般診所,苗栗縣竹南鎮,472789,苗栗縣竹南鎮光復路176之3號1樓,,24.688009,120.879608
3835040075,鴻仁中醫診所,私立中醫診所,中醫一般診所,苗栗縣竹南鎮,037-475198,苗栗縣竹南鎮環市路一段一八九號,,24.6819759,120.8743963
3835041081,漢林中醫診所,私立中醫診所,中醫一般診所,苗栗縣竹南鎮,37482208,苗栗縣竹南鎮博愛街202號,,24.6872221,120.874162
3835041143,全安堂中醫診所,私立中醫診所,中醫一般診所,苗栗縣竹南鎮,460700,苗栗縣竹南鎮立達街81號1樓,,24.6900138,120.8777609
3735010039,東海牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苗栗市,37267175,苗栗縣苗栗市清華里７鄰為公路１８１號,,24.570398,120.827641
3735010066,葉牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苗栗市,37322590,苗栗縣苗栗市新南里９鄰天雲街６號,,24.5631665,120.8185385
3735010075,泰生牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苗栗市,37261658,苗栗縣苗栗市北苗里１５鄰為公路８９號,,24.5735335,120.8226155
3735010084,洪牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苗栗市,37354642,苗栗縣苗栗市中正路４２７號,,24.5603087,120.8222065
3735010119,天祥牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苗栗市,037-320171,苗栗縣苗栗市中正路561號1樓,,24.5576259,120.8207409
3735010146,統一牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苗栗市,37263456,苗栗縣苗栗市為公路清華里一0四號,,24.5721815,120.8253313
3735010155,偉成牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苗栗市,37351788,苗栗縣苗栗市大同里１鄰光復路１２１號,,24.555603,120.8104098
3735010173,張世澤牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苗栗市,37353566,苗栗縣苗栗市中正路667號1樓,,24.5553451,120.819518
3735060066,劉文綱牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣後龍鎮,730393,苗栗縣後龍鎮成功路６４號,,24.6147875,120.7913229
3735061116,誠品牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣後龍鎮,037-729999,苗栗縣後龍鎮中華路39-41號1樓,,24.6161909,120.7890138
3735070017,卓蘭仁愛牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣卓蘭鎮,425892071,苗栗縣卓蘭鎮新榮里４鄰民權路３２?１號,,24.3097402,120.8279999
3735070035,陳牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣卓蘭鎮,04-25896882,苗栗縣卓蘭鎮昭永路36號,,24.3114447,120.8259042
3735080013,新全安牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣大湖鄉,37995720,苗栗縣大湖鄉明湖村12鄰博愛街29號,,24.4235449,120.8635316
3735090046,公館牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣公館鄉,37231111,苗栗縣公館鄉館中村信義街十四號,,24.5011217,120.8268979
3735090055,杏林牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣公館鄉,037-235121,苗栗縣公館鄉玉泉村14鄰380號1樓,,24.5253393,120.8157091
3735091061,光祐牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣公館鄉,239959,苗栗縣公館鄉大同路一七六號,,24.5023919,120.8283326
3735100010,聯儀牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣銅鑼鄉,37984365,苗栗縣銅鑼鄉銅鑼村１１鄰中正路１１８號,,24.478207,120.7895855
3735110516,南庄牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣南庄鄉,825980,苗栗縣南庄鄉獅山村田美71號,,24.6334314,121.0110519
3735121028,獻章牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣頭屋鄉,255539,苗栗縣頭屋鄉頭屋村中山街14號,,24.575143,120.8504321
3735131042,田牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣三義鄉,037-879337,苗栗縣三義鄉中正路117號1樓,,24.4135803,120.7720058
3735140523,新仁愛牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣西湖鄉,037-920757,苗栗縣西湖鄉店仔街六十九號,,24.557283,120.757262
3735160516,三灣牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣三灣鄉,037-833629,苗栗縣三灣鄉中正路333號1樓,,24.6572056,120.9594024
3735010226,林治民牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苗栗市,37267471,苗栗縣苗栗市中正路１４號,,24.5695602,120.8244158
3735010253,喬林牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苗栗市,037-336935,苗栗縣苗栗市中正路472號1樓,,24.559544,120.821417
3735010262,得恩牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苗栗市,37325173,苗栗縣苗栗市玉苗里中山路六七二號,,24.556382,120.818323
3735010271,曹文龍牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苗栗市,37338370,苗栗縣苗栗市府前路８８號,,24.5611761,120.8187826
3735010299,人人牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苗栗市,37324214,苗栗縣苗栗市中正路７０９號,,24.554669,120.819199
3735010306,弘太牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苗栗市,37320501,苗栗縣苗栗市中山路四0三號一樓,,24.5698589,120.8237519
3735011330,黃宏智牙醫診所,私立牙醫診所,牙醫診所,苗栗縣苗栗市,321313,苗栗縣苗栗市中山路198號1樓,,24.565223,120.823063
3735011349,大樂牙醫診所,私立牙醫診所,牙醫診所,苗栗縣苗栗市,373246,苗栗縣苗栗市府前路160巷2號1樓,,24.5600827,120.8172676
3735020035,芊宇牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苑裡鎮,037-852263,苗栗縣苑裡鎮南興路68號1樓,,24.4403579,120.6549539
3735020044,阮牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苑裡鎮,037-863798,苗栗縣苑裡鎮世界路一段五二號,,24.4414218,120.6560999
3735020071,東大牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苑裡鎮,37867227,苗栗縣苑裡鎮為公路４６號,,24.4433223,120.6523626
3735021096,傑威牙醫診所,私立牙醫診所,牙醫一般診所,苗栗縣苑裡鎮,037-856060,苗栗縣苑裡鎮和平路七十二號,,24.4410964,120.654797
