機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3838020075,冠雲中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮,049-2987150,南投縣埔里鎮中山路二段３５１號,,23.9642752,120.9665978
3838020093,武進中醫診所,私立中醫診所,中醫專科診所,南投縣埔里鎮,049-2984973,南投縣埔里鎮中山路二段２１１號,,23.967487,120.970216
3838020119,十方中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮,049-2996279,南投縣埔里鎮西安路一段３３５號,,23.9731237,120.9695033
3838020128,濟生中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮,049-2900719,南投縣埔里鎮中正路４３５號,,23.965756,120.966503
3838021161,大眾中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮,049-2995333,南投縣埔里鎮南昌街202號,,23.9658342,120.9652385
3838021198,隆昇中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮,049-2998003,南投縣埔里鎮隆生路81號,,23.9592045,120.9675454
3838021223,元濟中醫診所,私立中醫診所,中醫一般診所,南投縣埔里鎮,049-2906386,南投縣埔里鎮中正路531號二樓,,23.9700343,120.9638698
3838021241,普仁中醫診所,私立中醫診所,中醫診所,南投縣埔里鎮,049-2930373,南投縣埔里鎮東峰路19號,,24.0028121,120.9456044
3838030026,明山中醫診所,私立中醫診所,中醫專科診所,南投縣草屯鎮,049-2334377,南投縣草屯鎮炎峰街１７號,,23.9801276,120.6863963
3838030071,蒼生中醫診所,私立中醫診所,中醫一般診所,南投縣草屯鎮,049-2334747,南投縣草屯鎮草溪路９５９號,,23.9759202,120.680966
3838030213,北大中醫診所,私立中醫診所,中醫一般診所,南投縣草屯鎮,049-2356279,南投縣草屯鎮中山街466號,,23.9838595,120.6837211
3838030277,佳仁堂中醫診所,私立中醫診所,中醫一般診所,南投縣草屯鎮,049-2320938,南投縣草屯鎮中正路６８５號,,23.979737,120.684225
3838030295,長庚中醫聯合診所,私立中醫診所,中醫一般診所,南投縣草屯鎮,049-2380666,南投縣草屯鎮芬草路一段３２號,,23.9825999,120.6839054
3838031354,聖明中醫診所,私立中醫診所,中醫一般診所,南投縣草屯鎮,049-2302979,南投縣草屯鎮碧山南路30號,,23.9781826,120.6808858
3838031372,洪日宏中醫診所,私立中醫診所,中醫一般診所,南投縣草屯鎮,049-2339387,南投縣草屯鎮太平路一段503號,,23.9676676,120.6824329
3838031381,啟福中醫診所,私立中醫診所,中醫一般診所,南投縣草屯鎮,2319955,南投縣草屯鎮碧山南路17號,,23.9779423,120.6811648
3838031416,王崇儒中醫診所,私立中醫診所,中醫一般診所,南投縣草屯鎮,049-2328937,南投縣草屯鎮中興路379號,,23.9758162,120.6888217
3838031434,鴻濟中醫診所,私立中醫診所,中醫一般診所,南投縣草屯鎮,,南投縣草屯鎮碧山南路112-1號,,23.97826,120.6783405
3838031443,永盛中醫診所,私立中醫診所,中醫診所,南投縣草屯鎮,049-2356233,南投縣草屯鎮中山街120號1樓,,23.9761739,120.68275
3838031452,宏昌中醫診所,私立中醫診所,中醫一般診所,南投縣草屯鎮,049-2380168,南投縣草屯鎮虎山路827號,,23.9762049,120.685572
3838031461,永安中醫診所,私立中醫診所,中醫診所,南投縣草屯鎮,,南投縣草屯鎮明賢街一段28號,,23.9755116,120.6869413
3838031498,豐本中醫診所,私立中醫診所,中醫診所,南投縣草屯鎮,049-2338895,南投縣草屯鎮碧山路18號1樓,,23.9779739,120.6873581
3838040022,東龍中醫診所,私立中醫診所,中醫專科診所,南投縣竹山鎮,049-2655551,南投縣竹山鎮竹山路１５８號,,23.7535501,120.681513
3838040059,萬安中醫診所,私立中醫診所,中醫一般診所,南投縣竹山鎮,049-2649649,南投縣竹山鎮集山路三段785號,,23.7584213,120.6857433
3838040095,大明中醫診所,私立中醫診所,中醫一般診所,南投縣竹山鎮,049-2654936,南投縣竹山鎮大明路183號,,23.7600611,120.684821
3838040102,慶興堂中醫診所,私立中醫診所,中醫專科診所,南投縣竹山鎮,049-2659766,南投縣竹山鎮頂橫街６０號,,23.756702,120.6805486
3838041127,惠群中醫診所,私立中醫診所,中醫一般診所,南投縣竹山鎮,049-2630702,南投縣竹山鎮橫街79號,,23.756209,120.6828
3838050519,集祥中醫診所,私立中醫診所,中醫一般診所,南投縣集集鎮,049-2762789,南投縣集集鎮和平街6號,,23.8271292,120.7791523
3838061085,康壽中醫診所,私立中醫診所,中醫診所,南投縣名間鄉,049-2220918,南投縣名間鄉彰南路373之4號,,23.8754389,120.6931316
3838061094,佑生中醫診所,私立中醫診所,中醫診所,南投縣名間鄉,049-2737111,南投縣名間鄉彰南路96之15號,,23.8412451,120.700743
3838070011,鳳凰中醫診所,私立中醫診所,中醫一般診所,南投縣鹿谷鄉,049-2752032,南投縣鹿谷鄉中正路一段353號,,23.744054,120.7547967
3838090013,新惠安中醫診所,私立中醫診所,中醫一般診所,南投縣魚池鄉,049-2896805,南投縣魚池鄉魚池街366號,,23.8969697,120.936597
3838010033,惠生中醫診所,私立中醫診所,中醫一般診所,南投縣南投市,049-2223179,南投縣南投市漳和里彰南路二段４７９號,,23.917012,120.678257
3838010042,生元中醫診所,私立中醫診所,中醫一般診所,南投縣南投市,049-2222865,南投縣南投市集賢路３１號,,23.9046669,120.684616
3838010051,建安中醫聯合診所,私立中醫診所,中醫一般診所,南投縣南投市,49222874,南投縣南投市中山街16號,,23.9057729,120.686674
3838010088,寶生中醫診所,私立中醫診所,中醫一般診所,南投縣南投市,049-2209122,南投縣南投市彰南路一段940號,,23.903133,120.6862582
3838010131,德安中醫診所,私立中醫診所,中醫一般診所,南投縣南投市,049-2252775,南投縣南投市彰南路二段510號,,23.9184044,120.6782074
3838010239,合德中醫診所,私立中醫診所,中醫一般診所,南投縣南投市,049-2243197,南投縣南投市中興路608號,,23.9047909,120.6904493
3838010248,一品堂中醫診所,私立中醫診所,中醫一般診所,南投縣南投市,049-2228696,南投縣南投市復興路78號1樓,,23.9036745,120.6881717
3838010266,同慶中醫診所,私立中醫診所,中醫一般診所,南投縣南投市,049-2227623,南投縣南投市文昌街５７號1樓、地下1樓,,23.9072302,120.6873653
3838010293,陳清隆中醫診所,私立中醫診所,中醫一般診所,南投縣南投市,,南投縣南投市中山街１４巷２１號,,23.905761,120.687146
3838010328,隆安中醫診所,私立中醫診所,中醫一般診所,南投縣南投市,049-2222317,南投縣南投市彰南路二段8號1F,,23.9083549,120.685032
3838011343,保元堂中醫診所,私立中醫診所,中醫一般診所,南投縣南投市,049-2222167,南投縣南投市中山街195號,,23.9095473,120.6853968
3838011361,仁愛中醫診所,私立中醫診所,中醫一般診所,南投縣南投市,049-2226706,南投縣南投市彰南路一段943號,,23.902751,120.68576
3838110065,華佗中醫診所,私立中醫診所,中醫一般診所,南投縣水里鄉,,南投縣水里鄉中央村民族路492號,,23.8163265,120.8534011
3838110074,興安中醫診所,私立中醫診所,中醫一般診所,南投縣水里鄉,049-2770757,南投縣水里鄉城中村太平街87號,,23.8167814,120.8519461
3838110083,春福中醫診所,私立中醫診所,中醫一般診所,南投縣水里鄉,049-2771143,南投縣水里鄉北埔村民族路283號,,23.8139558,120.8546231
3738031450,仁德牙醫診所,私立牙醫診所,牙醫診所,南投縣草屯鎮,049-2381000,南投縣草屯鎮碧山路634號,,23.977971,120.6748121
3738040020,曾雅展牙醫診所,私立牙醫診所,牙醫一般診所,南投縣竹山鎮,049-2643391,南投縣竹山鎮林圯街14 之2號,,23.755574,120.6805693
3738040048,江牙醫診所,私立牙醫診所,牙醫一般診所,南投縣竹山鎮,049-2643850,南投縣竹山鎮下橫街50號,,23.7573516,120.683971
3738040093,黃牙醫診所,私立牙醫診所,牙醫一般診所,南投縣竹山鎮,049-2653418,南投縣竹山鎮菜園路３－１號,,23.7548351,120.685381
3738040100,正新牙醫診所,私立牙醫診所,牙醫一般診所,南投縣竹山鎮,049-2656466,南投縣竹山鎮中正橫街７２號,,23.7558,120.683633
3738040119,冠美牙醫診所,私立牙醫診所,牙醫一般診所,南投縣竹山鎮,049-2653163,南投縣竹山鎮橫街１３號,,23.753935,120.684247
3738040128,晶華牙醫診所,私立牙醫診所,牙醫一般診所,南投縣竹山鎮,049-2640622,南投縣竹山鎮昭德街１９號,,23.75817,120.686257
3738040146,眾安牙醫診所,私立牙醫診所,牙醫一般診所,南投縣竹山鎮,049-2660175,南投縣竹山鎮前山路一段５４號,,23.757406,120.679884
3738040155,生活牙醫診所,私立牙醫診所,牙醫一般診所,南投縣竹山鎮,049-2660260,南投縣竹山鎮前山路一段９９號,,23.7572835,120.6795035
3738041189,德山牙醫診所,私立牙醫診所,牙醫一般診所,南投縣竹山鎮,049-2655989,南投縣竹山鎮集山路三段425號,,23.7616665,120.6955127
3738041198,石田牙醫診所,私立牙醫診所,牙醫一般診所,南投縣竹山鎮,049-2635058,南投縣竹山鎮集山路三段207-4號,,23.7635526,120.7017495
3738060022,明仁牙醫診所,私立牙醫診所,牙醫一般診所,南投縣名間鄉,049-2530030,南投縣名間鄉松山村豐柏路２７－１號,,23.8341918,120.634009
3738060059,松茂牙醫診所,私立牙醫診所,牙醫一般診所,南投縣名間鄉,049-2730781,南投縣名間鄉員集路１４７－３號,,23.835329,120.701773
3738071025,以美牙醫診所,私立牙醫診所,牙醫一般診所,南投縣鹿谷鄉,2750919,南投縣鹿谷鄉中正路二段142號,,23.7479126,120.7528075
3738090020,邱仁宏牙醫診所,私立牙醫診所,牙醫一般診所,南投縣魚池鄉,049-2898918,南投縣魚池鄉魚池街４６1號,,23.8968687,120.9358418
3738110018,張牙醫診所,私立牙醫診所,牙醫一般診所,南投縣水里鄉,49770143,南投縣水里鄉城中村太平街53號,,23.8169028,120.8526182
3738110027,國隆牙醫診所,私立牙醫診所,牙醫一般診所,南投縣水里鄉,49771563,南投縣水里鄉鉅工村民生路219號,,23.8120239,120.8555828
3738110045,懷安牙醫診所,私立牙醫診所,牙醫一般診所,南投縣水里鄉,049-2778345,南投縣水里鄉水里村民權路182號,,23.8174943,120.8527482
3738110107,水里牙醫診所,私立牙醫診所,牙醫一般診所,南投縣水里鄉,49773382,南投縣水里鄉北埔村博愛路126號,,23.8120805,120.8521624
3738111113,佳美牙醫診所,私立牙醫診所,牙醫一般診所,南投縣水里鄉,049_2778563,南投縣水里鄉中央村中正路112號,,23.8153554,120.8536071
3738120023,同富牙醫診所,私立牙醫診所,牙醫一般診所,南投縣信義鄉,049-2702055,南投縣信義鄉同富村同和巷９８－４號,,23.5944248,120.8884157
