機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
4131050027,有全醫療社團法人有全牙醫診所,醫療社團法人診所,牙醫診所,新北市新店區,229101388,新北市新店區北新路二段164號1樓,,24.9756199,121.543129
3831151175,大順中醫診所,私立中醫診所,中醫一般診所,新北市五股區,22916650,新北市五股區成泰路二段196號,,25.0848772,121.4387718
3831160030,黎明中醫聯合診所,私立中醫診所,中醫一般診所,新北市泰山區,02-22974515,新北市泰山區明志路一段３１５號,,25.0591018,121.4314639
3831161135,妙健堂中醫診所,私立中醫診所,中醫一般診所,新北市泰山區,29062788,新北市泰山區工專路三號,,25.0399245,121.4233748
3831161144,星光中醫診所,私立中醫診所,中醫一般診所,新北市泰山區,22968118,新北市泰山區明志路1段81號1樓,,25.0643687,121.4335167
3831170027,恆安中醫診所,私立中醫診所,中醫一般診所,新北市林口區,02 6011110,新北市林口區竹林路４０７號,,25.083851,121.3869052
3831171113,全德中醫診所,私立中醫診所,中醫一般診所,新北市林口區,26002438,新北市林口區文化二路1段三八四號二樓,,25.0829397,121.3840952
3831032102,家康中醫診所,私立中醫診所,中醫一般診所,新北市永和區,29291223,新北市永和區中正路三五八號一樓,,25.00071,121.5178346
3831032111,祺元堂中醫診所,私立中醫診所,中醫一般診所,新北市永和區,89253601,新北市永和區竹林路71-1號1樓,,25.0132877,121.5189658
3831032148,明仁中醫診所,私立中醫診所,中醫診所,新北市永和區,29223008,新北市永和區永貞路352號1樓,,25.006114,121.510848
3831032157,永和易元堂中醫診所,私立中醫診所,中醫診所,新北市永和區,29420899,新北市永和區中正路62號1、2樓,,24.9947203,121.5134547
3831032175,祥寧中醫診所,私立中醫診所,中醫診所,新北市永和區,02-29266869,新北市永和區中興街104號1-2樓及106號1-2樓,,25.0123211,121.5191245
3831032193,泉安堂中醫診所,私立中醫診所,中醫診所,新北市永和區,29207377,新北市永和區竹林路4號1樓,,25.0146679,121.516135
3831040015,華星中醫診所,私立中醫診所,中醫一般診所,新北市中和區,02 9432288,新北市中和區興南路一段１５１號,,24.9870324,121.5088772
3831040033,朝春中醫診所,私立中醫診所,中醫一般診所,新北市中和區,02 9419229,新北市中和區景新街３８５－２號２Ｆ,,24.9902528,121.5124756
3831040042,三元中醫診所,私立中醫診所,中醫一般診所,新北市中和區,02-22429808,新北市中和區中興街二０二巷十六之一號一樓,,24.9923302,121.499874
3831040051,福星中醫診所,私立中醫診所,中醫一般診所,新北市中和區,02 2236609,新北市中和區連城路３１６號,,24.9960498,121.4834112
3831040079,陳南中醫診所,私立中醫診所,中醫一般診所,新北市中和區,02 2227337,新北市中和區民享街５８－１號,,25.001995,121.474054
3831040097,進安中醫診所,私立中醫診所,中醫一般診所,新北市中和區,02-22485986,新北市中和區保平路356號、358號1樓,,25.0045612,121.5082
3831040417,寶島中醫診所,私立中醫診所,中醫一般診所,新北市中和區,22427093,新北市中和區景平路742號１樓,,25.0042502,121.4966738
3831040471,元隆堂中醫診所,私立中醫診所,中醫一般診所,新北市中和區,9417504,新北市中和區宜安路一九號,,24.9959023,121.512848
3831027852,六福中醫診所,私立中醫診所,中醫一般診所,新北市三重區,2973-1088,新北市三重區集成路１０號,,25.0520459,121.488392
3831027923,林源泉中醫診所,私立中醫診所,中醫一般診所,新北市三重區,2984-1753,新北市三重區碧華街５９號,,25.0813361,121.48462
3831027996,新昌中醫診所,私立中醫診所,中醫診所,新北市三重區,82879885,新北市三重區自強路三段１１０巷１５之２號,,25.07479,121.486317
3831028000,洪中醫診所,私立中醫診所,中醫診所,新北市三重區,29898612,新北市三重區長壽西街１７號,,25.0676342,121.4975025
3831030028,泰華內科針炙科中醫診所,私立中醫診所,中醫專科診所,新北市永和區,02 9275634,新北市永和區保平路１２１號,,25.0063539,121.510749
3831171168,國寶堂中醫診所,私立中醫診所,中醫一般診所,新北市林口區,26021950,新北市林口區文化二路二段159號1樓,,25.0832444,121.3800911
3831171186,達可得黃中醫診所,私立中醫診所,中醫診所,新北市林口區,26098067,新北市林口區仁愛路2段269號2樓之1,,25.0742848,121.3825559
3831230519,十全中醫診所,私立中醫診所,中醫一般診所,新北市八里區,26185377,新北市八里區龍米路一段119號1樓,,25.125261,121.4531243
3831230528,九如中醫診所,私立中醫診所,中醫診所,新北市八里區,86302819,新北市八里區中華路二段460號1樓,,25.1459777,121.4005585
3831280019,天寶堂中醫診所,私立中醫診所,中醫一般診所,新北市萬里區,02 4920789,新北市萬里區瑪鍊路１１２號,,25.1406792,121.7143014
3831131860,易元堂中醫診所,私立中醫診所,中醫一般診所,新北市土城區,22634669,新北市土城區學府路1段107號1、2樓,,24.9875059,121.4558062
3831131897,弘祐中醫診所,私立中醫診所,中醫診所,新北市土城區,,新北市土城區中央路4段113號1樓,,24.9576978,121.4166463
3831140056,培元中醫診所,私立中醫診所,中醫一般診所,新北市蘆洲區,02 2810328,新北市蘆洲區中山二路６９號,,25.0819155,121.473552
3831140065,一品堂中醫診所,私立中醫診所,中醫一般診所,新北市蘆洲區,02 2812373,新北市蘆洲區中正路１１８號,,25.084832,121.4694386
3831140136,同仁堂中醫診所,私立中醫診所,中醫一般診所,新北市蘆洲區,02 2818192,新北市蘆洲區信義路２９7、299號,,25.085985,121.4785019
3831030046,大德生中醫診所,私立中醫診所,中醫專科診所,新北市永和區,02 9216354,新北市永和區竹林路２２５巷２號,,25.008407,121.5210988
3831030073,康源中醫診所,私立中醫診所,中醫一般診所,新北市永和區,02 9258628,新北市永和區得和路３５１號,,24.999595,121.5242557
3831030162,俊發中醫診所,私立中醫診所,中醫一般診所,新北市永和區,02 9213815,新北市永和區復興街３１號,,25.013155,121.516305
3831030206,竹林堂中醫診所,私立中醫診所,中醫一般診所,新北市永和區,02 9213290,新北市永和區永和路二段２４９號,,25.0151496,121.5157383
3831030260,竹安堂中醫診所,私立中醫診所,中醫一般診所,新北市永和區,02 9212751,新北市永和區永亨路７號,,25.0058415,121.5193257
3831030331,上海堂中醫診所,私立中醫診所,中醫一般診所,新北市永和區,02 2319589,新北市永和區永貞路２１８號,,25.0040446,121.5151863
3831030340,獻寶中醫診所,私立中醫診所,中醫一般診所,新北市永和區,02 9296945,新北市永和區福和路三六二號,,25.0075081,121.5147167
3831030402,合元中醫診所,私立中醫診所,中醫一般診所,新北市永和區,02 9418857,新北市永和區民權路８號,,24.999645,121.5201613
3831030411,利源中醫診所,私立中醫診所,中醫一般診所,新北市永和區,(02)89252558,新北市永和區竹林路179巷1號1樓,,25.0099802,121.5208273
3831030420,永豐中醫診所,私立中醫診所,中醫一般診所,新北市永和區,9213264,新北市永和區永平路１４６號,,25.0086539,121.511458
3831030457,葉圳松中醫診所,私立中醫診所,中醫一般診所,新北市永和區,2461398,新北市永和區中和路３４３號１２．１２之２樓,,24.999844,121.507879
3831030475,華興中醫診所,私立中醫診所,中醫一般診所,新北市永和區,9488722,新北市永和區成功路二段９０號,,24.9986711,121.5264803
3831030546,秀朗中醫診所,私立中醫診所,中醫一般診所,新北市永和區,29488502,新北市永和區民權路二四號,,24.9992989,121.5201224
3831020657,永昇中醫診所,私立中醫診所,中醫一般診所,新北市三重區,02 29780781,新北市三重區中寮街20號之5,,25.0595107,121.4923456
3831020675,國嘉中醫診所,私立中醫診所,中醫一般診所,新北市三重區,9804259,新北市三重區重新路三段１１５巷１８號,,25.0606543,121.4899346
3831020835,楊士弘中醫診所,私立中醫診所,中醫一般診所,新北市三重區,02 23920305,新北市三重區五華街１４４號,,25.0839336,121.4913133
3831020906,陳逸德中醫診所,私立中醫診所,中醫一般診所,新北市三重區,29721815,新北市三重區中央南路二號,,25.0631644,121.501287
3831020915,集美中醫診所,私立中醫診所,中醫一般診所,新北市三重區,02 29746397,新北市三重區集美街47號,,25.055345,121.4880099
3831140449,勝原堂中醫診所,私立中醫診所,中醫一般診所,新北市蘆洲區,282835981,新北市蘆洲區信義路246號之5  246號之6  1樓,,25.0863826,121.4785231
3831141688,新立中醫診所,私立中醫診所,中醫一般診所,新北市蘆洲區,02 22817900,新北市蘆洲區中山二路四十六巷十三號,,25.0823784,121.4743564
3831141722,大春中醫診所,私立中醫診所,中醫一般診所,新北市蘆洲區,02-22881052,新北市蘆洲區中正路1號1樓,,25.0815704,121.4716068
3831141839,同慶堂中醫診所,私立中醫診所,中醫一般診所,新北市蘆洲區,22895799,新北市蘆洲區長安街295號1樓,,25.0847192,121.458101
3831141866,得康中醫診所,私立中醫診所,中醫一般診所,新北市蘆洲區,22898866,新北市蘆洲區中原路41號1樓,,25.0823475,121.4596054
3831141884,信義中醫診所,私立中醫診所,中醫診所,新北市蘆洲區,82831919,新北市蘆洲區信義路261號,,25.0847248,121.4789375
3831141937,元安堂中醫診所,私立中醫診所,中醫診所,新北市蘆洲區,,新北市蘆洲區長榮路34號1樓,,25.082824,121.463285
3831150043,周中醫診所,私立中醫診所,中醫一般診所,新北市五股區,2915662,新北市五股區成泰路二段１８２號,,25.0846058,121.4386128
3831151077,聖德堂中醫診所,私立中醫診所,中醫一般診所,新北市五股區,22952888,新北市五股區成泰路二段一四○號,,25.0848317,121.4386586
3831111242,廣緣堂中醫診所,私立中醫診所,中醫診所,新北市汐止區,02-86951725,新北市汐止區明峰街132號,,25.0710113,121.6298776
3831130121,吉德中醫診所,私立中醫診所,中醫一般診所,新北市土城區,02 6462901,新北市土城區土城市延吉街１６８巷３號,,24.9850564,121.4668128
3831130238,延和中醫診所,私立中醫診所,中醫一般診所,新北市土城區,22635611,新北市土城區延和路127號1樓、125巷2號1樓、125巷4號1樓,,24.990567,121.468774
3831027361,華泰中醫診所,私立中醫診所,中醫一般診所,新北市三重區,02-22839907,新北市三重區三和路四段153-1號,,25.0783602,121.4838263
3831027414,忠孝龍安中醫診所,私立中醫診所,中醫一般診所,新北市三重區,89813498,新北市三重區忠孝路二段五十三號,,25.0708679,121.485209
3831027521,天士堂中醫診所,私立中醫診所,中醫一般診所,新北市三重區,02 29738867,新北市三重區信義街七十三號,,25.0650803,121.5016177
3831027629,龍安中醫診所,私立中醫診所,中醫一般診所,新北市三重區,22878797,新北市三重區仁愛街680號1樓,,25.0801552,121.4816253
3831027665,益成中醫診所,私立中醫診所,中醫一般診所,新北市三重區,29725039,新北市三重區三和路二段77號,,25.0682105,121.5000421
3831027709,保安堂中醫診所,私立中醫診所,中醫一般診所,新北市三重區,2989-6251,新北市三重區正義北路四七.四九號一.二樓,,25.0628279,121.4975392
3831027816,全心堂中醫診所,私立中醫診所,中醫一般診所,新北市三重區,89829966,新北市三重區自強路三段３５?３７號,,25.072664,121.48711
3831013143,聖杰中醫診所,私立中醫診所,中醫一般診所,新北市板橋區,02-22588445,新北市板橋區陽明街一二六號1、2樓,,25.023668,121.4637531
3831013189,裕芳中醫診所,私立中醫診所,中醫一般診所,新北市板橋區,29588222,新北市板橋區貴興路三十八號,,25.00335,121.457195
3831013278,仁心中醫診所,私立中醫診所,中醫一般診所,新北市板橋區,29665049,新北市板橋區北門街42-3號1、2樓,,25.0111764,121.4570017
3831013296,德康中醫診所,私立中醫診所,中醫一般診所,新北市板橋區,22512988,新北市板橋區漢生西路36號,,25.0184085,121.4634352
3831013330,明德中醫診所,私立中醫診所,中醫一般診所,新北市板橋區,22544898,新北市板橋區文聖街19號,,25.0321692,121.4757868
3831013367,回春中醫診所,私立中醫診所,中醫一般診所,新北市板橋區,29667970  0933122962,新北市板橋區國光路17號1樓,,25.017547,121.4567611
