機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3844010030,長慶中醫診所,私立中醫診所,中醫一般診所,澎湖縣馬公市,06 9276379,澎湖縣馬公市惠民一路１０號,,23.5660165,119.5646933
3844011055,錦山中醫診所,私立中醫診所,中醫一般診所,澎湖縣馬公市,06-9271700,澎湖縣馬公市朝陽里陽明路二十四號,,23.5735051,119.5720695
3844011073,松安堂中醫診所,私立中醫診所,中醫一般診所,澎湖縣馬公市,06-9277588,澎湖縣馬公市光榮里三多路352號,,23.5773162,119.5703716
3744010029,永安牙醫診所,私立牙醫診所,牙醫一般診所,澎湖縣馬公市,06 9273218,澎湖縣馬公市民生路５－４號,,23.567456,119.5677177
3744010038,豐祥牙醫診所,私立牙醫診所,牙醫專科診所,澎湖縣馬公市,06 9261195,澎湖縣馬公市民福路２之３號,,23.5636424,119.5674003
3744010056,周廉牙醫診所,私立牙醫診所,牙醫一般診所,澎湖縣馬公市,06 9262992,澎湖縣馬公市大勇街４０號,,23.57188,119.5718912
3744010065,全美牙醫診所,私立牙醫診所,牙醫一般診所,澎湖縣馬公市,06 9272690,澎湖縣馬公市光復里新生路２０－２號,,23.5675637,119.5681102
3744010092,兄弟牙醫診所,私立牙醫診所,牙醫一般診所,澎湖縣馬公市,06 9273695,澎湖縣馬公市光復路６３號,,23.5710521,119.5699366
3744010118,鄭牙醫診所,私立牙醫診所,牙醫一般診所,澎湖縣馬公市,06 9275603,澎湖縣馬公市中山路５－１號,,23.5634238,119.5649363
3744010154,明昌牙醫診所,私立牙醫診所,牙醫一般診所,澎湖縣馬公市,69273349,澎湖縣馬公市中華路五十二號一樓,,23.5698243,119.5706814
3744011160,鴻明牙醫診所,私立牙醫診所,牙醫一般診所,澎湖縣馬公市,06-9278967,澎湖縣馬公市復國路29號,,23.5667338,119.5638067
3744011188,永勝牙醫診所,私立牙醫診所,牙醫一般診所,澎湖縣馬公市,06-9272430,澎湖縣馬公市中華路66號,,23.5705406,119.571887
3744011197,滿祥聯合牙醫診所,私立牙醫診所,牙醫一般診所,澎湖縣馬公市,9260350,澎湖縣馬公市朝陽路187-1號,,23.5742246,119.5737952
3744011204,華美牙醫診所,私立牙醫診所,牙醫一般診所,澎湖縣馬公市,9953215,澎湖縣馬公市鎖港里鎖管港540號,,23.5226726,119.6006511
3744011213,怡富牙醫診所,私立牙醫診所,牙醫一般診所,澎湖縣馬公市,9265817,澎湖縣馬公市中華路227號,,23.5722839,119.5757074
3744011231,信安牙醫診所,私立牙醫診所,牙醫診所,澎湖縣馬公市,06-9273988,澎湖縣馬公市民權路26號,,23.5643091,119.5671761
3744040518,大蘋果牙醫診所,私立牙醫診所,牙醫一般診所,澎湖縣西嶼鄉,939301238,澎湖縣西嶼鄉池東村小池角36-1號,,23.6009128,119.5078178
3544011657,廷光家醫診所,私立西醫診所,西醫診所,澎湖縣馬公市,06-9267869,澎湖縣馬公市中華路207號,"家庭醫學科,",23.571857,119.575
3544010445,馬靜祥診所,私立西醫診所,西醫醫務室,澎湖縣馬公市,06 9267300,澎湖縣馬公市中華路２８９號,"家庭醫學科,",23.5721777,119.5779022
3544011488,辛家庭醫學科診所,私立西醫診所,西醫專科診所,澎湖縣馬公市,06-9268899,澎湖縣馬公市中華路８２號,"家庭醫學科,",23.570931,119.5725837
3544011504,建銘診所,私立西醫診所,西醫醫務室,澎湖縣馬公市,06-9269098,澎湖縣馬公市大勇街42號1樓,"家庭醫學科,",23.5719173,119.5718481
3544011513,慈輝家醫科診所,私立西醫診所,西醫醫務室,澎湖縣馬公市,9260669,澎湖縣馬公市大勇街6號,"家庭醫學科,婦產科,",23.5716551,119.5722141
3544011531,公仁診所,私立西醫診所,西醫醫務室,澎湖縣馬公市,,澎湖縣馬公市長安里民生路２７－３號,"家庭醫學科,兒科,",23.5675923,119.5661363
3544011540,陳麒勛診所,私立西醫診所,西醫醫務室,澎湖縣馬公市,06-9265870,澎湖縣馬公市光榮里三多路175號,,23.57594,119.574579
3544011577,徐政彥骨科診所,私立西醫診所,西醫專科診所,澎湖縣馬公市,,澎湖縣馬公市陽明路25號,"骨科,",23.5727195,119.5751478
3544011611,陳翠雯復健科診所,私立西醫診所,西醫專科診所,澎湖縣馬公市,0939756966/9261212,澎湖縣馬公市陽明路87-1號,"復健科,",23.5730793,119.5726965
3544011620,吳泰郎診所,私立西醫診所,西醫醫務室,澎湖縣馬公市,918730437,澎湖縣馬公市東文里文山路62號,"內科,",23.5611344,119.5839389
3544011639,江明儒耳鼻喉科診所,私立西醫診所,西醫醫務室,澎湖縣馬公市,06 9276768,澎湖縣馬公市大勇街６５號,"耳鼻喉科,",23.5721593,119.5715685
