機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3843070023,世昌中醫診所,私立中醫診所,中醫一般診所,屏東縣麟洛鄉,08 7211111,屏東縣麟洛鄉民權路9號,,22.6518911,120.526119
3843091059,聖德昌中醫診所,私立中醫診所,中醫一般診所,屏東縣里港鄉,08-7757998,屏東縣里港鄉中山路102號,,22.778972,120.4944711
3843100017,大仁中醫診所,私立中醫診所,中醫一般診所,屏東縣鹽埔鄉,08 7935395,屏東縣鹽埔鄉新二村維新路５２之３號,,22.7383507,120.5548281
3843130079,銓泰中醫診所,私立中醫診所,中醫一般診所,屏東縣內埔鄉,08-7790095,屏東縣內埔鄉南寧路２０９號,,22.6197404,120.5617822
3843131129,平安中醫診所,私立中醫診所,中醫診所,屏東縣內埔鄉,8.7693116,屏東縣內埔鄉南寧路１９６號,,22.6198412,120.5620845
3843161047,崇益中醫診所,私立中醫診所,中醫一般診所,屏東縣枋寮鄉,08-8780351,屏東縣枋寮鄉中山路246-5號,,22.3633656,120.5979559
3843161056,惠鳴中醫診所,私立中醫診所,中醫一般診所,屏東縣枋寮鄉,08-8717166,屏東縣枋寮鄉中山路二段250號,,22.383909,120.59504
3843201028,振德中醫診所,私立中醫診所,中醫一般診所,屏東縣南州鄉,08-8646699,屏東縣南州鄉仁里村人和路52號,,22.489204,120.509975
3843211024,張世材中醫診所,私立中醫診所,中醫診所,屏東縣佳冬鄉,8.8665665,屏東縣佳冬鄉石光村中山路150號,,22.434885,120.5627927
3843061024,長治中醫診所,私立中醫診所,中醫一般診所,屏東縣長治鄉,7366620....7352105,屏東縣長治鄉進興村復興路11號,,22.677175,120.5286607
3843011695,幸德中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市,08-7345113,屏東縣屏東市忠孝路229-20號,,22.6843191,120.4892219
3843011748,高明聯合中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市,08-7378635,屏東縣屏東市仁愛路79-3號,,22.6794257,120.4950379
3843011757,高點中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市,08-7535735,屏東縣屏東市大武路196號,,22.6583082,120.4744986
3843011800,金宏明中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市,08-7348398,屏東縣屏東市光榮里中山路61~13號,,22.6755521,120.4848283
3843011882,大同中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市,08-7336116,屏東縣屏東市大同北路116號,,22.6819491,120.4749245
3843011891,陳駿吉中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市,08-7539559,屏東縣屏東市廣東南路67號,,22.6649195,120.4908879
3843011917,回春同中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市,08-7350303,屏東縣屏東市華正路8號,,22.687094,120.503615
3843011935,慶安中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市,08-7368477,屏東縣屏東市自由路420-6號,,22.6822105,120.4933959
3843011980,明?中醫診所,私立中醫診所,中醫診所,屏東縣屏東市,08-7331107,屏東縣屏東市信義路267號,,22.6827253,120.4903172
3843012030,禾豐中醫診所,私立中醫診所,中醫診所,屏東縣屏東市,08-7552899,屏東縣屏東市華盛街1-28號,,22.6644965,120.478578
3843020032,明心堂中醫診所,私立中醫診所,中醫一般診所,屏東縣潮州鎮,08 7884003,屏東縣潮州鎮太平路79號,,22.5535675,120.5385457
3843020069,春安堂中醫診所,私立中醫診所,中醫一般診所,屏東縣潮州鎮,08 7885091,屏東縣潮州鎮新生路１８號,,22.5472436,120.5376848
3843020167,俊源中醫診所,私立中醫診所,中醫一般診所,屏東縣潮州鎮,08 7892070,屏東縣潮州鎮光華里育英路６號,,22.548883,120.542081
3843020194,駱明雄中醫診所,私立中醫診所,中醫一般診所,屏東縣潮州鎮,08 7884317,屏東縣潮州鎮延平路１８３號,,22.5559336,120.540152
3843020201,凱元中醫診所,私立中醫診所,中醫一般診所,屏東縣潮州鎮,08 7885660,屏東縣潮州鎮長春路15號,,22.545254,120.537417
3843021217,柯中醫診所,私立中醫診所,中醫診所,屏東縣潮州鎮,08-7882508,屏東縣潮州鎮新生路89號,,22.5503502,120.5385049
3843030029,福誌中醫診所,私立中醫診所,中醫一般診所,屏東縣東港鎮,08 8326305,屏東縣東港鎮中正路１４３號,,22.4676229,120.450032
3843031188,明泰中醫診所,私立中醫診所,中醫一般診所,屏東縣東港鎮,8355366,屏東縣東港鎮中正路一段341號,,22.47494,120.459123
3843040025,正元中醫診所,私立中醫診所,中醫一般診所,屏東縣恆春鎮,08 8892719,屏東縣恆春鎮中山路１４５號,,22.0038556,120.7440443
3843050030,德昌中醫診所,私立中醫診所,中醫一般診所,屏東縣萬丹鄉,08 7777658,屏東縣萬丹鄉萬安村和平東路59號,,22.5879904,120.490418
3843050049,陽明中醫診所,私立中醫診所,中醫一般診所,屏東縣萬丹鄉,08 7760310,屏東縣萬丹鄉萬壽路二段269號,,22.5869367,120.4877541
3843051055,吉隆中醫診所,私立中醫診所,中醫一般診所,屏東縣萬丹鄉,08-7760231,屏東縣萬丹鄉萬丹路一段一八七號,,22.588206,120.489856
3843010107,生安中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市,08 7323383,屏東縣屏東市中正路１９５－２號,,22.680025,120.4911675
3843010385,安仁中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市,08 7382087,屏東縣屏東市自由路４１０號,,22.6819786,120.4937636
3843010438,陳國隆中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市,08 7375641,屏東縣屏東市大連路１５－２５號,,22.683232,120.5065099
3843010447,億安堂中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市,08-7381895,屏東縣屏東市大連路３－５號,,22.6835759,120.5086004
3843010492,國珍中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市,08 -7669463,屏東縣屏東市公裕街１７８號,,22.6895335,120.4913788
3843010572,聖心中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市,08 -7559498,屏東縣屏東市復興路209號,,22.664851,120.488539
3843011677,陶淵屏中醫診所,私立中醫診所,中醫一般診所,屏東縣屏東市,08-7353939,屏東縣屏東市豐連街1號,,22.6765762,120.509619
3743110011,新美牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣高樹鄉,08 7965330,屏東縣高樹鄉南興路１４１號,,22.824184,120.601177
3743110020,救生牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣高樹鄉,08 7962516,屏東縣高樹鄉興中路４１號,,22.829085,120.6008977
3743120035,白牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣萬巒鄉,08 7810515,屏東縣萬巒鄉萬和村中正路２２－３號,,22.572397,120.56739
3743130013,邱牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣內埔鄉,08 7795075,屏東縣內埔鄉內田村廣濟路２５１號,,22.614657,120.566201
3743130031,健芳牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣內埔鄉,08 7790750,屏東縣內埔鄉內田村廣濟路123號,,22.61175,120.566272
3743130086,中興牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣內埔鄉,08 7792197,屏東縣內埔鄉內埔村中興路１３７號,,22.610816,120.568155
3743130095,全民牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣內埔鄉,08 7703499,屏東縣內埔鄉昭勝路67號,,22.6710731,120.6001779
3743131118,龍泉牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣內埔鄉,08-7709476,屏東縣內埔鄉龍泉村原勝路121號,,22.6672063,120.5996554
3743160011,王勝志牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣枋寮鄉,08 8782349,屏東縣枋寮鄉（村）德興路８３號,,22.3660403,120.5928843
3743160020,明新牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣枋寮鄉,08 8783254,屏東縣枋寮鄉（村）中山路２２９號,,22.3666814,120.5944489
3743160048,顏牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣枋寮鄉,08 8780896,屏東縣枋寮鄉中山路１７6號,,22.3633671,120.5979539
3743160057,建安牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣枋寮鄉,08-8788613,屏東縣枋寮鄉中山路106號,,22.3633685,120.5979521
3743161072,建興牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣枋寮鄉,08-8710742,屏東縣枋寮鄉勝利路56號,,22.3878932,120.5957726
3743161081,眾華牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣枋寮鄉,08-8710205,屏東縣枋寮鄉中華路200號,,22.3853653,120.5974944
3743170035,吉田牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣新園鄉,08 8682980,屏東縣新園鄉仙吉村市場巷２８號,,22.5423999,120.461686
3743171050,十方牙醫診所,私立牙醫診所,牙醫診所,屏東縣新園鄉,8.8326338,屏東縣新園鄉南興路231號,,22.4888169,120.458488
3743190028,協福牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣林邊鄉,08 8754065,屏東縣林邊鄉中山路１４６號,,22.4339021,120.515651
3743190046,永信牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣林邊鄉,08 8751965,屏東縣林邊鄉中山路２７７－１號,,22.434754,120.514523
3743191061,華泰牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣林邊鄉,922108333,屏東縣林邊鄉中林路1號,,22.432075,120.515849
3743200029,林牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣南州鄉,08 8641970,屏東縣南州鄉七塊村七塊路143號,,22.4848707,120.5019325
3743201035,康慈牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣南州鄉,08-8646421,屏東縣南州鄉三民路七十一號,,22.4900023,120.5088519
3743220512,真心牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣琉球鄉,08-8613269,屏東縣琉球鄉中山路43之5號,,22.3461028,120.3761756
3743230518,坪林牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣車城鄉,08-8825400,屏東縣車城鄉中山路42號之1,,22.073491,120.7138902
3743011942,千禧牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣屏東市,08-7361878,屏東縣屏東市廣東路282號,,22.677419,120.5010903
3743011951,新維牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣屏東市,08-7335795,屏東縣屏東市民生路180號,,22.6696922,120.4937845
3743011988,佳新牙醫診所,私立牙醫診所,牙醫診所,屏東縣屏東市,08-7655366,屏東縣屏東市信義路98-1號,,22.6734211,120.4867276
3743011997,博大牙醫診所,私立牙醫診所,牙醫診所,屏東縣屏東市,08-7510303,屏東縣屏東市華盛街3-3號.3-5號,,22.6641084,120.4785953
3743020076,超群牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣潮州鎮,08 7897733,屏東縣潮州鎮中正路１５號,,22.552018,120.538432
3743020085,羅牙醫診所,私立牙醫診所,牙醫一般診所,屏東縣潮州鎮,08 7884046,屏東縣潮州鎮四維路９２號,,22.552544,120.545845
