機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3836200299,福祥中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24930132,臺中市大里區塗城路六九七號,,24.088674,120.700538
3836200351,立人堂中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-22794096,臺中市大里區立仁路一五０號,,24.1105224,120.7020497
3836200388,錫安中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04 24820576,臺中市大里區益民路二段一九八之三 號,,24.108939,120.6840322
3836200468,頌恩中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24812334,臺中市大里區永興路一二九號,,24.109137,120.681843
3836200486,宏仁中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24068459,臺中市大里區爽文路９０９號,,24.1099135,120.6747729
3836200511,祐生中醫聯合診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24828991,臺中市大里區大里路一號,,24.1078144,120.6895133
3836201527,慈佑中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24831186,臺中市大里區勝利二路97號,,24.1024109,120.682498
3836201572,慶昇中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24838798,臺中市大里區中興路二段３８０－１號１樓,,24.1060654,120.6896945
3836151246,芳瑞中醫診所,私立中醫診所,中醫診所,臺中市烏日區,"9,190,326,770,423,360,000",臺中市烏日區民族街３號１樓,,24.1088878,120.6260486
3836151264,吉祥中醫診所,私立中醫診所,中醫診所,臺中市烏日區,04-23381568,臺中市烏日區中山路一段３６５號,,24.1079498,120.638442
3836160012,順星中醫診所,私立中醫診所,中醫一般診所,臺中市大肚區,04-26995907,臺中市大肚區沙田路二段７３１號,,24.1531154,120.544625
3836160021,德昌中醫診所,私立中醫診所,中醫一般診所,臺中市大肚區,04-26912137,臺中市大肚區遊園路二段２０３巷３弄１７號,,24.1706903,120.5812029
3836160101,漢林中醫診所,私立中醫診所,中醫一般診所,臺中市大肚區,04-26914332,臺中市大肚區遊園路二段二五七號,,24.174561,120.5811687
3836161126,惠民中醫診所,私立中醫診所,中醫一般診所,臺中市大肚區,04-26936665,臺中市大肚區沙田路一段452之2號1樓,,24.1233617,120.5646555
3836170036,民生堂中醫診所,私立中醫診所,中醫一般診所,臺中市龍井區,04-26312812,臺中市龍井區新興路121號,,24.1821547,120.5833605
3836170081,大慶中醫診所,私立中醫診所,中醫一般診所,臺中市龍井區,04-26317892,臺中市龍井區新興路６５號１樓,,24.1818184,120.5854596
3836170107,元泰中醫診所,私立中醫診所,中醫一般診所,臺中市龍井區,04-26528855,臺中市龍井區遊園南路１３５、１３７號,,24.183372,120.5846655
3836180069,廣茂中醫診所,私立中醫診所,中醫一般診所,臺中市霧峰區,04-23398083,臺中市霧峰區中正路３４７－４號,,24.0386915,120.6929209
3836180112,中原中醫診所,私立中醫診所,中醫一般診所,臺中市霧峰區,04-23391534,臺中市霧峰區吉峰路１３７號,,24.0772247,120.7128585
3836180149,邱明欣中醫診所,私立中醫診所,中醫一般診所,臺中市霧峰區,04-23302097,臺中市霧峰區中正路９１２號,,24.064426,120.6987001
3836180158,慶和中醫診所,私立中醫診所,中醫一般診所,臺中市霧峰區,04-23302510,臺中市霧峰區育仁街２３號,,24.0633092,120.6977436
3836180176,常益中醫診所,私立中醫診所,中醫一般診所,臺中市霧峰區,04-23326493,臺中市霧峰區甲寅里中正路一一七一之二號１樓２樓,,24.0691329,120.6992789
3836180185,至德中醫診所,私立中醫診所,中醫一般診所,臺中市霧峰區,04-23393128,臺中市霧峰區樹仁路96號,,24.0620204,120.6966432
3836181299,李采霓中醫診所,私立中醫診所,中醫診所,臺中市霧峰區,0955452752  23398985,臺中市霧峰區中正路６６５號１樓,,24.0580643,120.6977823
3836080046,德安中醫診所,私立中醫診所,中醫一般診所,臺中市神岡區,04-25628815,臺中市神岡區昌平路五段357號,,24.2439242,120.6830097
3836080117,進安中醫診所,私立中醫診所,中醫一般診所,臺中市神岡區,04-25618002,臺中市神岡區昌平路五段390號1樓,,24.2444481,120.6834579
3836080135,思恩堂中醫診所,私立中醫診所,中醫一般診所,臺中市神岡區,04-25617135,臺中市神岡區神岡東街三、五號,,24.257017,120.6623997
3836081196,聖達中醫診所,私立中醫診所,中醫一般診所,臺中市神岡區,04-25616163,臺中市神岡區中山路六七三號,,24.2483315,120.6801495
3836081249,德和堂中醫診所,私立中醫診所,中醫一般診所,臺中市神岡區,04-25120069,臺中市神岡區豐洲路３６７號１樓,,24.2609857,120.7058296
3836090024,保成中醫診所,私立中醫診所,中醫一般診所,臺中市潭子區,04-25326388,臺中市潭子區中山路二段３８４之８號,,24.214528,120.7052504
3836090042,明原中醫診所,私立中醫診所,中醫一般診所,臺中市潭子區,04-25367360,臺中市潭子區圓通南路１５２號１樓,,24.2071266,120.706458
3836090051,瑞成中醫診所,私立中醫診所,中醫一般診所,臺中市潭子區,04-25365773,臺中市潭子區潭子街三段５號,,24.22876,120.7080658
3836090088,六福堂中醫診所,私立中醫診所,中醫一般診所,臺中市潭子區,04-25346006,臺中市潭子區中山路二段３７９號,,24.2129616,120.7051031
3836090168,聖華中醫診所,私立中醫診所,中醫一般診所,臺中市潭子區,04-25322303,臺中市潭子區南門街１８號,,24.2162692,120.7034345
3836201643,佰億中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24913012,臺中市大里區仁化路七一二號,,24.0934289,120.692423
3836201750,弘安中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-22708963,臺中市大里區新仁路一段一五三號,,24.1110086,120.7028474
3836201787,益民中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24850788,臺中市大里區大里路三十九之十二號,,24.0997447,120.6795414
3836201796,文宗城中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24862456,臺中市大里區新光路六十五號,,24.1102826,120.6921675
3836201867,仁和中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24924111,臺中市大里區仁化路六一六號,,24.0965784,120.6994753
3836201910,普門堂中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24811181,臺中市大里區益民路二段３１１號１樓,,24.1123093,120.6838262
3836201929,大里廣濟中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24939555,臺中市大里區塗城路５５９號１、２樓,,24.087667,120.704791
3836201938,頂城中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-2496-9669,臺中市大里區中興路1段167之13號1樓,,24.082203,120.705079
3836201956,傳恩中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-23510808,臺中市大里區新仁路一段217巷9號1樓,,24.1103411,120.701229
3836201983,德彥中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24835519,臺中市大里區德芳南一街三十號一樓,,24.100963,120.6871573
3836201992,安德中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24876749,臺中市大里區文隆街３０號,,24.1075599,120.6833233
3836202042,官宋奮中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24839576,臺中市大里區環中東路六段592號1樓,,24.0988157,120.6907484
3836202060,世宏中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24062733,臺中市大里區永隆路268號１樓,,24.1089647,120.6767585
3836202113,大明中醫診所,私立中醫診所,中醫一般診所,臺中市大里區,04-24815675,臺中市大里區大明路393號1及2樓,,24.1149187,120.6796402
3836202131,天一中醫診所,私立中醫診所,中醫診所,臺中市大里區,04-24064140,臺中市大里區永隆二街180號,,24.1059227,120.6755228
3836202140,里仁中醫診所,私立中醫診所,中醫診所,臺中市大里區,04-24068220,臺中市大里區東里路１０、１２號１樓,,24.0969674,120.6786112
3836190056,長春中醫診所,私立中醫診所,中醫一般診所,臺中市太平區,04-22792271,臺中市太平區中興東路218-1號1樓,,24.1321161,120.723534
