機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3841310266,吉祥中醫聯合診所,私立中醫診所,中醫一般診所,臺南市永康區,06 2330973,臺南市永康區埔園里龍埔街４７２號,,23.035032,120.256861
3841310300,大千中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06 2013437,臺南市永康區復華里復國一路501號,,23.0155776,120.2442958
3841310319,志勇中醫聯合診所,私立中醫診所,中醫一般診所,臺南市永康區,06 2051878,臺南市永康區大灣里大灣路30２號,,23.0068693,120.2672383
3841311361,健宏中醫聯合診所,私立中醫診所,中醫一般診所,臺南市永康區,2317819,臺南市永康區埔園里四維街二號,,23.031157,120.2532944
3841311389,忠義中醫聯合診所,私立中醫診所,中醫一般診所,臺南市永康區,06-2534937,臺南市永康區蔦松里蔦松一街29號,,23.044079,120.2583858
3841311441,同心堂中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06-2040218,臺南市永康區永康里永大路二段一一六二號,,23.019713,120.2623173
3841311450,永生中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06 2081555,臺南市永康區六合里中華二路三二六號,,23.008544,120.2316704
3841311487,江銘酌中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06-3026670,臺南市永康區五王里振興路88號1樓,,23.0121382,120.2348624
3841311521,王建發中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06-2331213,臺南市永康區網寮里文化路三六九號,,23.0155961,120.2521293
3841311567,千祥中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06-3027116,臺南市永康區大橋里大橋二街二二一號,,23.0206998,120.2300279
3841311665,劉俊良中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06-2730279,臺南市永康區崑山里永大路二段11號,,23.001431,120.259544
3841311709,復華中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06-3135819,臺南市永康區中華里忠孝路3號,,22.9990561,120.239871
3841311745,王相欽中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,3132432,臺南市永康區復國里復國一路168號,,23.0058164,120.2461134
3841311754,何清波中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06-2024786,臺南市永康區復華里復國一路423號,,23.0139676,120.245738
3841311763,黃中一中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06-3135998,臺南市永康區中華里華興街139號,,23.0006311,120.2356491
3841311807,天相中醫診所,私立中醫診所,中醫診所,臺南市永康區,06-2522405,臺南市永康區甲頂里中正南路90號,,23.0210821,120.216403
3841311816,全興中醫診所,私立中醫診所,中醫診所,臺南市永康區,2539188,臺南市永康區鹽行里新中街59號,,23.0377112,120.2424196
3841311825,祥和中醫診所,私立中醫診所,中醫診所,臺南市永康區,06-2017531,臺南市永康區安康里中華路603號,,23.0134873,120.2306832
3841311834,祐康中醫診所,私立中醫診所,中醫診所,臺南市永康區,06-3027336,臺南市永康區五王里中華路396號,,23.0096818,120.2333911
3841071139,超群中醫診所,私立中醫診所,中醫一般診所,臺南市善化區,06-5830173,臺南市善化區光文里民權路143號1樓,,23.1314608,120.3000362
3841081082,平安中醫診所,私立中醫診所,中醫一般診所,臺南市學甲區,67821288,臺南市學甲區仁得里自強路一二三號,,23.228886,120.178916
3841120020,姜正夫中醫診所,私立中醫診所,中醫一般診所,臺南市下營區,06 6895529,臺南市下營區下營里中山路一段七十一號,,23.2353866,120.2631452
3841140013,德安中醫診所,私立中醫診所,中醫一般診所,臺南市官田區,06-5793541,臺南市官田區南?里７７號,,23.2206188,120.2995055
3841160033,永吉中醫診所,私立中醫診所,中醫一般診所,臺南市西港區,06 7952028,臺南市西港區慶安里慶安路７５號,,23.1210575,120.2021265
3841180044,李阿宋中醫診所,私立中醫診所,中醫一般診所,臺南市將軍區,06-7941032,臺南市將軍區西華里62-31號,,23.1982988,120.1546002
3841200032,家明中醫診所,私立中醫診所,中醫一般診所,臺南市新市區,06 5011627,臺南市新市區新市里中正路二六七號,,23.0788836,120.2922803
3841200041,永就中醫診所,私立中醫診所,中醫一般診所,臺南市新市區,06 5988337,臺南市新市區永就里五二之五號,,23.0642791,120.3003035
