機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
4001020019,基督復臨安息日會醫療財團法人臺安診所,醫療財團法人診所,西醫診所,臺北市大安區,2700-2899,臺北市大安區敦化南路二段76號11樓,"家庭醫學科,內科,",25.02923,121.5481706
4101200019,有全醫療社團法人景美牙醫診所,醫療社團法人診所,牙醫診所,臺北市文山區,29339793,臺北市文山區景美街20號3樓,,24.991396,121.541818
4101200028,有全醫療社團法人木柵101牙醫診所,醫療社團法人診所,牙醫診所,臺北市文山區,29396081,臺北市文山區木新路三段168號3樓,,24.9819051,121.5608657
3701200770,力行牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,229348046,臺北市文山區景興路 30號,,24.997384,121.54454
3701200789,文山牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,229377770,臺北市文山區木柵路三段３７及３９號,,25.0329636,121.5654268
3701200814,天丞牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,229369194,臺北市文山區木新路三段３２５號,,24.9804945,121.5565366
3701200878,景華牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,229304167,臺北市文山區景華街一二二號一樓,,24.9953359,121.5470554
3701200887,樸園牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,229364720,臺北市文山區指南路二段４５巷８號１樓,,24.9878369,121.574218
3701200896,陳世傑牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,229317115,臺北市文山區興隆路二段二二九號,,25.0013421,121.5505449
3701200903,西歐牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,229327482,臺北市文山區興隆路一段151號,,25.0017867,121.5424414
3701200912,新安牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,229334380,臺北市文山區辛亥路四段236號,,25.0018858,121.5550667
3701200921,協群牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,229375629,臺北市文山區忠順街一段４１巷８號１樓,,24.9847057,121.5586221
3701200949,雅田牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,229352838,臺北市文山區景興路１１９號１樓,,24.99477,121.544836
3701200958,人本家庭牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,86610274,臺北市文山區木新路三段３５０號,,24.9803977,121.5548743
3701200985,建宏牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,86633076,臺北市文山區景文街４６號,,24.9915842,121.5412382
3701201008,威登牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,229338433,臺北市文山區羅斯福路六段一一二號,,24.9973944,121.5405175
3701201062,怡佳牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,229383363,臺北市文山區忠順街一段１５５號１樓,,24.9845466,121.5611764
3701201080,晶品牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,86637900,臺北市文山區羅斯福路五段２４０號１樓,,25.0013529,121.538933
3701201115,驊陽牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,86610188,臺北市文山區忠順街一段二十六巷三十二號,,24.9825484,121.5596188
3701201124,全家牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,22346393,臺北市文山區木柵路二段１４３號,,24.9890766,121.5624067
3701202149,敦揚牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,86619817,臺北市文山區木新路二段247號1樓,,24.983212,121.56707
3701202176,堤岸牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,29395500,臺北市文山區木柵路二段六八號,,24.9885759,121.55944
3701202194,信和牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,22367038,臺北市文山區木柵路一段七十一號,,24.9869601,121.5464351
3701202265,福祥牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,29320234,臺北市文山區羅斯福路五段一七二號二樓,,25.0043935,121.538633
3701202274,亞美光聯合牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,29337678,臺北市文山區景美街一之六號一樓及地下一樓,,24.9940027,121.5417685
3701202309,一心牙醫診所,私立牙醫診所,牙醫一般診所,臺北市文山區,22345151,臺北市文山區木新路三段141號,,24.9817997,121.5616121
3701190564,天一牙醫診所,私立牙醫診所,牙醫一般診所,臺北市萬華區,223120802,臺北市萬華區西寧南路９１號二樓,,25.0454119,121.506842
3701190591,孝德牙醫診所,私立牙醫診所,牙醫一般診所,臺北市萬華區,02-23712288,臺北市萬華區貴陽街二段144號,,25.0401495,121.501673
3701190653,富康牙醫診所,私立牙醫診所,牙醫一般診所,臺北市萬華區,223038754,臺北市萬華區萬大路３１６號,,25.0246883,121.5002351
3701190680,張建昌牙醫診所,私立牙醫診所,牙醫一般診所,臺北市萬華區,223321597,臺北市萬華區寶興街１９８號,,25.0231909,121.4954639
3701190715,國民牙醫診所,私立牙醫診所,牙醫一般診所,臺北市萬華區,223324060,臺北市萬華區寶興街１８２號,,25.023807,121.495254
3701190742,惠德牙醫診所,私立牙醫診所,牙醫一般診所,臺北市萬華區,02 23376347,臺北市萬華區萬大路４８６巷５號,,25.019794,121.496992
3701190760,宏德牙醫診所,私立牙醫診所,牙醫一般診所,臺北市萬華區,223086699,臺北市萬華區中華路二段六十六號一樓  大埔街三十四號一樓,,25.0328324,121.5041393
3701190840,同仁牙醫診所,私立牙醫診所,牙醫一般診所,臺北市萬華區,223810220,臺北市萬華區長沙街二段４5號2樓,,25.04076,121.50592
3701157023,國維牙醫診所,私立牙醫診所,牙醫一般診所,臺北市士林區,28344265,臺北市士林區忠誠路1段84號1樓、88號1樓、90號1樓,,25.105069,121.527832
3701157096,鄭文彥牙醫診所,私立牙醫診所,牙醫一般診所,臺北市士林區,28330799,臺北市士林區文林路678號2樓,,25.101273,121.522443
3701157103,三愛牙醫診所,私立牙醫診所,牙醫一般診所,臺北市士林區,28733372,臺北市士林區天母東路69巷1之1號1樓,,25.1185942,121.5343319
3701157121,中美牙醫診所,私立牙醫診所,牙醫一般診所,臺北市士林區,28312206,臺北市士林區忠誠路二段64號3樓,,25.1112896,121.5304933
3701157130,天泉牙醫診所,私立牙醫診所,牙醫一般診所,臺北市士林區,28738711,臺北市士林區中山北路六段726號3樓,,25.115113,121.5279507
3701157149,格子牙醫診所,私立牙醫診所,牙醫一般診所,臺北市士林區,28715520,臺北市士林區天母西路40之1號3樓,,25.118237,121.5259539
3701157167,楊恭熙牙醫診所,私立牙醫診所,牙醫一般診所,臺北市士林區,2883-8549,臺北市士林區大東路137號1樓,,25.0919137,121.5253583
3701157176,芳川牙醫診所,私立牙醫診所,牙醫診所,臺北市士林區,2881-2214,臺北市士林區大西路19號,,25.090086,121.524147
3701157185,宏仁牙醫診所,私立牙醫診所,牙醫診所,臺北市士林區,28117543,臺北市士林區延平北路六段158、162號,,25.089636,121.506674
3701157201,賓大牙醫診所,私立牙醫診所,牙醫診所,臺北市士林區,28342255,臺北市士林區中山北路六段214號,,25.10839,121.525403
3701160020,英華牙醫診所,私立牙醫診所,牙醫一般診所,臺北市北投區,228312885,臺北市北投區致遠一路二段六十一號,,25.1122714,121.513337
3701160066,中和牙醫診所,私立牙醫診所,牙醫一般診所,臺北市北投區,02-28942377,臺北市北投區中和街二八三號二樓,,25.140306,121.500331
3701160084,永光牙醫診所,私立牙醫診所,牙醫一般診所,臺北市北投區,02-28583749,臺北市北投區知行路二八八號,,25.121745,121.4675017
3701160128,啟仁牙醫診所,私立牙醫診所,牙醫一般診所,臺北市北投區,228727240,臺北市北投區尊賢街二二三號,,25.1156992,121.5077076
3701160155,五洲牙醫診所,私立牙醫診所,牙醫一般診所,臺北市北投區,02-28911432,臺北市北投區中和街三○九號,,25.1151759,121.515018
3701160164,倪牙醫診所,私立牙醫診所,牙醫一般診所,臺北市北投區,228210804,臺北市北投區立農街一段一八七巷一四號,,25.1206848,121.5047716
3701160208,曹牙醫診所,私立牙醫診所,牙醫一般診所,臺北市北投區,228310569,臺北市北投區自強街１４１巷３號,,25.1111927,121.5162908
