機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3846011179,道民中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市,089/323991,臺東縣台東市開封街449號,,22.7634285,121.1430812
3846011197,大春中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市,89355125,臺東縣台東市中華路二段一七六號,,22.7443613,121.1381288
3846011222,陳靜婉中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市,089-331812,臺東縣台東市中正路271號,,22.7560638,121.153002
3846011231,景春中醫診所,私立中醫診所,中醫診所,臺東縣台東市,089-359629,臺東縣台東市中正路222號,,22.7552026,121.1543027
3846011268,普賢中醫診所,私立中醫診所,中醫診所,臺東縣台東市,089-516885,臺東縣台東市知本路三段583號,,22.7069102,121.0432424
3846021022,宏霖中醫診所,私立中醫診所,中醫一般診所,臺東縣成功鎮,089-852553,臺東縣成功鎮三民路三二號,,23.1014783,121.3699881
3846101052,福壽堂中醫診所,私立中醫診所,中醫一般診所,臺東縣池上鄉,089-863666,臺東縣池上鄉新生路一三四號,,23.1233215,121.2189202
3846010038,冠惠中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市,89328379,臺東縣台東市更生路８號,,22.755416,121.1516075
3846010047,金雞堂中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市,89328825,臺東縣台東市寶桑路１６２號,,22.7553176,121.15572
3846010056,賜安中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市,89328979,臺東縣台東市中山路３５４號,,22.7537015,121.1489689
3846010118,一心堂中醫診所,私立中醫診所,中醫診所,臺東縣台東市,089-221788,臺東縣台東市傳廣路474號,,22.7673056,121.1440152
3846010136,壽春中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市,89325909,臺東縣台東市博愛路470號,,22.7546796,121.1461793
3846011142,和仁堂中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市,089-337568,臺東縣台東市復興路209號,,22.752896,121.1497564
3746011355,邱宏正牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,356072,臺東縣台東市中正路三九八號,,22.7583336,121.150416
3746011373,張家慧牙醫診所,私立牙醫診所,牙醫診所,臺東縣台東市,89347219,臺東縣台東市中山路262號,,22.7560801,121.1513226
3746011382,明正牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,89338876,臺東縣台東市傳廣路155號,,22.7597274,121.1438906
3746011391,東隆牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,89239813,臺東縣台東市南二街205號,,22.7795345,121.1207334
3746011417,太平洋牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,,臺東縣台東市信義路２２８號,,22.7555658,121.145987
3746011426,大樹牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,089-356565,臺東縣台東市浙江路85號,,22.7606452,121.1492558
3746011453,葉欽志牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,089-321117,臺東縣台東市更生路32號,,22.7561954,121.1509228
3746011462,全家牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,089-339960,臺東縣台東市新生路668號,,22.7630641,121.1364595
3746011499,楊性聰牙醫診所,私立牙醫診所,牙醫診所,臺東縣台東市,089-231231,臺東縣台東市四維路三段120號,,22.7658109,121.1414123
3746030010,劉牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣關山鎮,89812456,臺東縣關山鎮三民路廿七號,,23.0477209,121.1619263
3746050512,但以理牙醫診所,私立牙醫診所,牙醫診所,臺東縣大武鄉,089-790092,臺東縣大武鄉民族路47號,,22.3638025,120.9051931
3746060518,太麻里牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣太麻里,089-782229,臺東縣太麻里泰和村外環路40號,,22.6124022,121.0070213
3746100026,陳牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣池上鄉,89863848,臺東縣池上鄉忠孝路２３７號,,23.1232345,121.2194853
3746101041,合諧牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣池上鄉,089-865181,臺東縣池上鄉忠孝路365號,,23.1250353,121.2220854
3746150517,振興牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣金峰鄉,089-227413,臺東縣金峰鄉正興村2-2號,,22.6054945,120.9969525
3746010018,漢聲牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,89333919,臺東縣台東市傳廣路２４號,,22.7571895,121.1439164
3746010045,林牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,89310733,臺東縣台東市更生路１３７號,,22.7591527,121.1475406
3746010107,林隆益牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,89345080,臺東縣台東市中華路一段３８４號,,22.7542215,121.1531081
3746010116,許牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,89326791,臺東縣台東市光明路９４號,,22.7561347,121.1527825
3746010161,仁一牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,89228493,臺東縣台東市傳廣路４４９號,,22.7664385,121.1438456
3746010205,仁人牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,89513099,臺東縣台東市知本路三段６８８號,,22.706689,121.042542
3746010223,恩榮牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,89324556,臺東縣台東市中正路２９３號,,22.7566378,121.1522894
3746010241,高德牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,89513821,臺東縣台東市知本路三段５９１號,,22.7067964,121.0429099
3746010269,健生牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,89332632,臺東縣台東市開封街４５１號,,22.763403,121.1430522
3746010278,許正德牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,89345193,臺東縣台東市漢陽北路１４９號,,22.7467725,121.1346541
3746010296,清家牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,89328066,臺東縣台東市新生路２２６號,,22.7546283,121.1457688
3746011319,福音牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,089-361510,臺東縣台東市中山路253號,,22.7567036,121.1520339
3746011337,張朝珍牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,089-237236,臺東縣台東市連航路八十五號,,22.7708373,121.1216614
3746011346,大安牙醫診所,私立牙醫診所,牙醫一般診所,臺東縣台東市,089--359088,臺東縣台東市漢中街76號,"口腔顎面外科,",22.7573013,121.1379358
3546010130,寶桑內兒科診所,私立西醫診所,西醫醫務室,臺東縣台東市,89322507,臺東縣台東市寶桑路２６３號,"內科,兒科,",22.7566605,121.1539385
3546010194,曾外科診所,私立西醫診所,西醫專科診所,臺東縣台東市,89332675,臺東縣台東市更生路６４號,"外科,",22.7567933,121.1502619
3546010229,吳外婦產科診所,私立西醫診所,西醫醫務室,臺東縣台東市,89322901,臺東縣台東市中山路２１８號,"外科,婦產科,",22.7570098,121.1522734
3546010238,大慶家醫科外科診所,私立西醫診所,西醫專科診所,臺東縣台東市,89322221,臺東縣台東市中山路２６７號,"家庭醫學科,外科,",22.7563956,121.1517084
3546010247,東和外科診所,私立西醫診所,西醫專科診所,臺東縣台東市,89311011,臺東縣台東市大同路１５０號,"外科,",22.7537055,121.152623
3546010292,朱眼科診所,私立西醫診所,西醫專科診所,臺東縣台東市,89332728,臺東縣台東市光明路１５１號,"眼科,",22.7546588,121.1513434
3546010327,隆安耳鼻喉科診所,私立西醫診所,西醫專科診所,臺東縣台東市,89331369,臺東縣台東市新生路５７號,"耳鼻喉科,",22.7513053,121.1494941
3546010354,育生小兒科診所,私立西醫診所,西醫專科診所,臺東縣台東市,89345304,臺東縣台東市中山路２４４號,"兒科,",22.7563954,121.1516558
3546010407,李文正內科診所,私立西醫診所,西醫專科診所,臺東縣台東市,89323920,臺東縣台東市中正路２９５號,"內科,",22.7567907,121.1521011
3546010434,東光眼科診所,私立西醫診所,西醫專科診所,臺東縣台東市,89340208,臺東縣台東市更生路246號1樓,"眼科,",22.7597617,121.1465745
3546010443,賴鵬雲診所,私立西醫診所,西醫醫務室,臺東縣台東市,89310070,臺東縣台東市正氣路１５３號,,22.7519985,121.1522642
3546010452,優生婦產科診所,私立西醫診所,西醫專科診所,臺東縣台東市,89336226,臺東縣台東市南京路１２３號,"婦產科,",22.758345,121.1477382
3546010514,泰和外婦產科診所,私立西醫診所,西醫診所,臺東縣台東市,89325858,臺東縣台東市更生路１８１號,"外科,婦產科,",22.7596534,121.1466836
3546040138,太平診所,私立西醫診所,西醫專科診所,臺東縣卑南鄉,89383843,臺東縣卑南鄉太平村太平路２７６號,"家庭醫學科,",22.7826713,121.0864204
3546041180,薛內科診所,私立西醫診所,西醫醫務室,臺東縣卑南鄉,89572358,臺東縣卑南鄉初鹿村忠孝路一一九號,"內科,兒科,",22.858139,121.092191
3546061191,仁和內科外科診所,私立西醫診所,西醫專科診所,臺東縣太麻里,089-780310,臺東縣太麻里外環路220號1樓,"內科,外科,",22.6059846,121.0036049
3546071026,鄧可中診所,私立西醫診所,西醫醫務室,臺東縣東河鄉,089-530427,臺東縣東河鄉都蘭村21鄰96號,,22.8739479,121.2146933
3546071044,東河診所,私立西醫診所,西醫診所,臺東縣東河鄉,089-896649,臺東縣東河鄉南東河202號,"家庭醫學科,",22.895946,121.2390504
3546081139,長恩診所,私立西醫診所,西醫醫務室,臺東縣長濱鄉,89830227,臺東縣長濱鄉長濱村9鄰100號,"家庭醫學科,",23.3180619,121.4484747
