機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3832011027,榮春中醫診所,私立中醫診所,中醫一般診所,桃園市桃園區,03 3322383,桃園市桃園區民有11街151號1樓,,25.0099223,121.3126473
3832011036,慈航中醫診所,私立中醫診所,中醫一般診所,桃園市桃園區,03 3335433,桃園市桃園區中山東路３２之２０號,,24.9956749,121.3142765
3832011054,昌達中醫診所,私立中醫診所,中醫一般診所,桃園市桃園區,03 3161016,桃園市桃園區新埔七街五號,,25.0183223,121.3022345
3832011143,金宏中醫診所,私立中醫診所,中醫一般診所,桃園市桃園區,(03)3365898,桃園市桃園區中山路４５３號,,24.991608,121.299472
3832012337,大眾中醫診所,私立中醫診所,中醫一般診所,桃園市桃園區,3331293,桃園市桃園區中山路120號2樓,,24.9939541,121.3098341
3832010048,正錦中醫診所,私立中醫診所,中醫一般診所,桃園市桃園區,03 3375084,桃園市桃園區民生路６１６號,,25.0021192,121.3097849
3832010084,仁愛中醫診所,私立中醫診所,中醫一般診所,桃園市桃園區,03 3351036,桃園市桃園區中山路２８號,,24.995354,121.312261
3832010100,永春堂中醫診所,私立中醫診所,中醫一般診所,桃園市桃園區,03 3321032,桃園市桃園區文化街七十七號,,24.991355,121.306946
3832010164,林內科中醫診所,私立中醫診所,中醫一般診所,桃園市桃園區,(03)3012431,桃園市桃園區永安路１０２６號,,25.0091023,121.2882908
3832010208,銀堂中醫診所,私立中醫診所,中醫一般診所,桃園市桃園區,03 3326653,桃園市桃園區中山路327號,"內科,",24.9915759,121.303174
3832010217,國元中醫診所,私立中醫診所,中醫專科診所,桃園市桃園區,(03)3168161,桃園市桃園區慈文路一九七號,,25.0076897,121.3032142
3832010226,李府恩中醫診所,私立中醫診所,中醫一般診所,桃園市桃園區,(03)2202439,桃園市桃園區中山路６２１號,,24.990939,121.294178
3832010253,順安中醫診所,私立中醫診所,中醫一般診所,桃園市桃園區,03 3552768,桃園市桃園區永安路１４３２號,,25.01248,121.274976
3832010306,陳錦川中醫診所,私立中醫診所,中醫一般診所,桃園市桃園區,03 3610373,桃園市桃園區長沙街３８號,,24.980859,121.307537
3832010351,陽明中醫診所,私立中醫診所,中醫一般診所,桃園市桃園區,03 3353451,桃園市桃園區撫街５０號,,24.9736299,121.2645774
3832010360,曾中醫診所,私立中醫診所,中醫一般診所,桃園市桃園區,03 3322765,桃園市桃園區永樂街１１０號,,24.998187,121.310579
3832101204,范逢中醫診所,私立中醫診所,中醫一般診所,桃園市平鎮區,03-4015166,桃園市平鎮區義興街52號1樓,,24.949146,121.209561
3832101222,賴傳洪中醫診所,私立中醫診所,中醫一般診所,桃園市平鎮區,03-4226003,桃園市平鎮區康樂路四五之一號,,24.9530929,121.221259
3832101375,一品堂中醫診所,私立中醫診所,中醫一般診所,桃園市平鎮區,4952000,桃園市平鎮區延平路二段九一號一樓,,24.9492309,121.2120284
3832101446,龍興中醫診所,私立中醫診所,中醫診所,桃園市平鎮區,03-4195219,桃園市平鎮區南豐路63號,,24.9003309,121.2092364
3832110034,祥安中醫診所,私立中醫診所,中醫一般診所,桃園市新屋區,03 -4776095,桃園市新屋區中興路２０號,,24.9724684,121.1030998
3832111077,保安堂中醫診所,私立中醫診所,中醫一般診所,桃園市新屋區,34970270,桃園市新屋區中山路306號,,24.973021,121.105793
3832081305,聖渝中醫診所,私立中醫診所,中醫一般診所,桃園市八德區,3756356,桃園市八德區介壽路一段820號1樓,,24.9622018,121.2997139
3832081378,國輝中醫診所,私立中醫診所,中醫診所,桃園市八德區,03-3620770,桃園市八德區介壽路一段801號,,24.962245,121.300375
3832081387,春暉中醫診所,私立中醫診所,中醫診所,桃園市八德區,03-3688101,桃園市八德區介壽路二段1131號,,24.9326476,121.2976586
3832090019,惠康中醫診所,私立中醫診所,中醫一般診所,桃園市龍潭區,03 4701655,桃園市龍潭區中正村中正路１６３號,,24.8611879,121.2179766
3832090037,徐中醫診所,私立中醫診所,中醫一般診所,桃園市龍潭區,03 4792767,桃園市龍潭區中山村東龍路２７９號,,24.8660894,121.2134618
3832090046,福生中醫診所,私立中醫診所,中醫一般診所,桃園市龍潭區,03 4792983,桃園市龍潭區龍元路５７號,,24.8647085,121.2122347
3832090135,仁心中醫聯合診所,私立中醫診所,中醫一般診所,桃園市龍潭區,03-4992486,桃園市龍潭區東龍路一八０號,,24.8611263,121.2148825
3832091169,懷恩中醫診所,私立中醫診所,中醫一般診所,桃園市龍潭區,4898489,桃園市龍潭區北龍路267號1樓及269號1樓,,24.8678346,121.2169489
3832091178,恩典中醫診所,私立中醫診所,中醫一般診所,桃園市龍潭區,34891886,桃園市龍潭區中正路龍華段312號1樓、314號1樓、316號1樓,,24.8664631,121.2146176
3832100038,武德中醫診所,私立中醫診所,中醫一般診所,桃園市平鎮區,03 4228421,桃園市平鎮區延平路一段７１號,,24.9514456,121.2211014
3832100065,華南中醫診所,私立中醫診所,中醫一般診所,桃園市平鎮區,03 4697995,桃園市平鎮區中豐路山頂段221號1樓,,24.8992571,121.2109614
3832100083,呂芳仁中醫診所,私立中醫診所,中醫一般診所,桃園市平鎮區,03 4691466,桃園市平鎮區南京路１２巷45弄6號,,24.9175909,121.2099157
3832022584,弘安堂中醫聯合診所,私立中醫診所,中醫一般診所,桃園市中壢區,03-43333943,桃園市中壢區莊敬路151號1樓,,24.9679362,121.2574759
3832022619,方濟中醫診所,私立中醫診所,中醫一般診所,桃園市中壢區,34562968,桃園市中壢區中山東路三段246號,,24.9418944,121.2504449
3832022628,信望愛中醫診所,私立中醫診所,中醫一般診所,桃園市中壢區,34028099,桃園市中壢區中山路499號,,24.9569622,121.2150125
3832022655,通安堂中醫診所,私立中醫診所,中醫一般診所,桃園市中壢區,34567900,桃園市中壢區嘉興二街48號,,24.9542064,121.232864
3832022664,康博中醫診所,私立中醫診所,中醫一般診所,桃園市中壢區,34555577,桃園市中壢區長春路108號,,24.9782563,121.2479701
3832022673,億軒中醫診所,私立中醫診所,中醫一般診所,桃園市中壢區,34551145,桃園市中壢區環北路351號,,24.9661577,121.2247355
3832022726,華川中醫診所,私立中醫診所,中醫一般診所,桃園市中壢區,34276758,桃園市中壢區中美路105號,,24.9586749,121.224869
3832022753,仁和堂中醫診所,私立中醫診所,中醫診所,桃園市中壢區,03-4368265,桃園市中壢區中山東路三段111號1樓,,24.9445709,121.24874
3832022799,明道中醫診所,私立中醫診所,中醫診所,桃園市中壢區,03-4623385,桃園市中壢區莊敬路811巷20號1樓、22號1樓,,24.9635031,121.255591
3832022806,華信中醫診所,私立中醫診所,中醫診所,桃園市中壢區,03-4251678,桃園市中壢區元化路2段34號,,24.9626889,121.221938
3832022815,益壽中醫診所,私立中醫診所,中醫診所,桃園市中壢區,03-4220816,桃園市中壢區中正路191號,,24.955388,121.220748
3832030013,仁漢中醫診所,私立中醫診所,中醫一般診所,桃園市大溪區,03 3804659,桃園市大溪區員林路一段１８號,,24.8986929,121.283653
3832030040,仰德中醫診所,私立中醫診所,中醫一般診所,桃園市大溪區,03 3893447,桃園市大溪區員林路一段１０號,,24.898671,121.284237
3832031083,安泰中醫診所,私立中醫診所,中醫診所,桃園市大溪區,03-3801327,桃園市大溪區員林路二段384號,,24.884289,121.268049
3832040055,榮安中醫診所,私立中醫診所,中醫一般診所,桃園市楊梅區,03 4753575,桃園市楊梅區大華街３３號,,24.9074945,121.1448515
3832051334,安康中醫診所,私立中醫診所,中醫診所,桃園市蘆竹區,03-3227976,桃園市蘆竹區南順七街27號,,25.0390711,121.2906193
3832060057,億安中醫診所,私立中醫診所,中醫一般診所,桃園市大園區,33868613,桃園市大園區新興路１７１號,,25.06088,121.195679
3832060066,許健治中醫診所,私立中醫診所,中醫一般診所,桃園市大園區,3867154,桃園市大園區中華路十七號,,25.066369,121.197466
3832061072,振興中醫診所,私立中醫診所,中醫一般診所,桃園市大園區,03-3866987,桃園市大園區中華路71號1樓,,25.0670521,121.198559
3832070035,瑞星中醫診所,私立中醫診所,中醫一般診所,桃園市龜山區,03 3285456,桃園市龜山區大湖ㄧ路106巷29號,,25.056761,121.359226
3832070053,通發中醫診所,私立中醫診所,中醫一般診所,桃園市龜山區,03 3201779,桃園市龜山區自強南路６９８號,,24.9914616,121.3338359
