機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3834080020,吉慶中醫診所,私立中醫診所,中醫一般診所,宜蘭縣冬山鄉,39568635,宜蘭縣冬山鄉群英村義成路３段５５２號,,24.6689161,121.768632
3834090026,同濟中醫診所,私立中醫診所,中醫一般診所,宜蘭縣五結鄉,39506507,宜蘭縣五結鄉五結村中興路2段60號,,24.6911727,121.7842468
3834101033,星現代中醫診所,私立中醫診所,中醫一般診所,宜蘭縣三星鄉,03-9895588,宜蘭縣三星鄉三星路五段180號,,24.6658461,121.649571
3834051074,大新中醫診所,私立中醫診所,中醫一般診所,宜蘭縣礁溪鄉,03-9880080,宜蘭縣礁溪鄉中山路一段203號,,24.8216996,121.770962
3834010082,六安堂中醫診所,私立中醫診所,中醫一般診所,宜蘭縣宜蘭市,39334565,宜蘭縣宜蘭市光復路２３號,,24.7548542,121.7565046
3834010091,慶安中醫診所,私立中醫診所,中醫一般診所,宜蘭縣宜蘭市,39357877,宜蘭縣宜蘭市和睦路７０號,,24.7573892,121.7576964
3834010117,林鴻飛中醫診所,私立中醫診所,中醫一般診所,宜蘭縣宜蘭市,39387899,宜蘭縣宜蘭市延平路３８－４５號,,24.7557543,121.7662951
3834010153,德安中醫診所,私立中醫診所,中醫一般診所,宜蘭縣宜蘭市,03 9330220,宜蘭縣宜蘭市復興路49號,,24.748701,121.74844
3834011178,六順中醫診所,私立中醫診所,中醫一般診所,宜蘭縣宜蘭市,03-9366696,宜蘭縣宜蘭市宜興路1段55號,,24.7496534,121.7554261
3834011196,仁濟中醫聯合診所,私立中醫診所,中醫一般診所,宜蘭縣宜蘭市,9323249,宜蘭縣宜蘭市文昌路147之1號,,24.7581555,121.7487467
3834011203,慶餘堂中醫診所,私立中醫診所,中醫一般診所,宜蘭縣宜蘭市,928522073,宜蘭縣宜蘭市康樂路5號,,24.755576,121.757415
