機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3839011392,重德中醫診所,私立中醫診所,中醫一般診所,雲林縣斗六市,5322900,雲林縣斗六市成功路407號,,23.705797,120.55063
3839011409,新生中醫診所,私立中醫診所,中醫診所,雲林縣斗六市,922328273,雲林縣斗六市六合街97號,,23.705792,120.538023
3839011418,安賢中醫診所,私立中醫診所,中醫診所,雲林縣斗六市,05-5362968,雲林縣斗六市上海路136號1樓,,23.7129061,120.5390571
3839011427,東方中醫診所,私立中醫診所,中醫診所,雲林縣斗六市,5361010,雲林縣斗六市中山路339-1號1樓,,23.700666,120.538622
3839020015,乾光中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,55976072,雲林縣斗南鎮埤麻里２４號,,23.6833004,120.4496172
3839020033,信安中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,05 5977717,雲林縣斗南鎮民權路６之１號,,23.674112,120.479576
3839020079,聖德中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,05 5971955,雲林縣斗南鎮南昌西路52-1號,,23.6724426,120.4757411
3839020097,狀元堂中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,05 5963633,雲林縣斗南鎮明昌里延平路二段４７８號,,23.6737012,120.4760489
3839020113,國際中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,05 5968379,雲林縣斗南鎮民權路31號,,23.673751,120.478732
3839021156,大春堂中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,05-5960629,雲林縣斗南鎮明昌里中正路二四五號,,23.676261,120.4755
3839030011,豐生中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05 6321235,雲林縣虎尾鎮德興路120號,,23.7124146,120.4300054
3839030066,太和堂中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,56323070,雲林縣虎尾鎮工專路６５號,,23.700552,120.425407
3839030146,佳樟中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05 6321121,雲林縣虎尾鎮光復路２００號,,23.709725,120.443531
3839030155,明德堂中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05 6337876,雲林縣虎尾鎮東仁里民族路23-2、23-3號,,23.7114462,120.4411897
3839030173,立仁中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05 6322978,雲林縣虎尾鎮立仁街十五號,,23.706573,120.429183
3839030182,宏儒中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05-6321120,雲林縣虎尾鎮新興里光復路309號,,23.7097951,120.4402145
3839031205,張中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05-6364443,雲林縣虎尾鎮和平路21之2號1樓,,23.709315,120.438089
3839031303,東方虎尾中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05-6364978,雲林縣虎尾鎮中正路329號,,23.7040581,120.4295079
3839031330,南光中醫診所,私立中醫診所,中醫診所,雲林縣虎尾鎮,05-6364669,雲林縣虎尾鎮林森路一段416巷23號,,23.7112382,120.4345655
3839031349,辰欣中醫診所,私立中醫診所,中醫診所,雲林縣虎尾鎮,,雲林縣虎尾鎮中山里中山路62號,,23.7078133,120.4344728
3839040035,復春中醫診所,私立中醫診所,中醫一般診所,雲林縣西螺鎮,55868225,雲林縣西螺鎮光復西路１２０號,,23.7970725,120.461913
3839040053,成功中醫診所,私立中醫診所,中醫一般診所,雲林縣西螺鎮,55862304,雲林縣西螺鎮平和路１８５號,,23.8006684,120.4585727
3839040062,建成中醫診所,私立中醫診所,中醫一般診所,雲林縣西螺鎮,,雲林縣西螺鎮延平路400.402號1樓,,23.800864,120.455561
3839041121,延平慈愛中醫診所,私立中醫診所,中醫一般診所,雲林縣西螺鎮,05-5875095,雲林縣西螺鎮延平路三五三號,,23.8003737,120.4546302
3839060028,至誠堂中醫診所,私立中醫診所,中醫一般診所,雲林縣北港鎮,05 3836619,雲林縣北港鎮光明路３７號,,23.5662842,120.3030441
3839060046,民安中醫診所,私立中醫診所,中醫一般診所,雲林縣北港鎮,05 7837673,雲林縣北港鎮大同路６０４號,,23.575106,120.291733
3839061114,一心中醫診所,私立中醫診所,中醫一般診所,雲林縣北港鎮,05-7821177,雲林縣北港鎮吉祥路45-15號,,23.5739337,120.301691
3839061141,源茂中醫診所,私立中醫診所,中醫一般診所,雲林縣北港鎮,7825282,雲林縣北港鎮大同路120號,,23.5710056,120.303349
3839061150,慈德中醫診所,私立中醫診所,中醫診所,雲林縣北港鎮,7820123,雲林縣北港鎮民政路43號,,23.5758094,120.3007406
3839071058,德圓中醫診所,私立中醫診所,中醫診所,雲林縣古坑鄉,05-5828222,雲林縣古坑鄉平和路22號,,23.7100557,120.5462552
3839080039,大眾中醫診所,私立中醫診所,中醫一般診所,雲林縣大埤鄉,05 5916749,雲林縣大埤鄉南和村中正路１３５之３號,,23.644015,120.4252906
3839081045,劉冠位中醫診所,私立中醫診所,中醫一般診所,雲林縣大埤鄉,05-5912557,雲林縣大埤鄉北和村信義路1號,,23.6458699,120.4336157
3839090017,保生堂中醫診所,私立中醫診所,中醫一般診所,雲林縣莿桐鄉,05 5845936,雲林縣莿桐鄉莿桐村中山路１７３號,,23.758577,120.499847
3839091041,見安中醫診所,私立中醫診所,中醫一般診所,雲林縣莿桐鄉,,雲林縣莿桐鄉四合村后埔一二五號,,23.7767824,120.5235085
3839111039,宏安中醫診所,私立中醫診所,中醫診所,雲林縣二崙鄉,05-5990505,雲林縣二崙鄉崙西村中山路171號,,23.7694339,120.4117475
3839130034,吉民中醫診所,私立中醫診所,中醫一般診所,雲林縣麥寮鄉,05 6931880,雲林縣麥寮鄉華興路３９號,,23.7485977,120.250868
3839131040,坤德中醫診所,私立中醫診所,中醫一般診所,雲林縣麥寮鄉,05-6935820,雲林縣麥寮鄉中華路52號1樓之2,,23.7504106,120.2588614
3839150027,永傳中醫診所,私立中醫診所,中醫一般診所,雲林縣褒忠鄉,05-6976502,雲林縣褒忠鄉埔姜村中民路133號,,23.6920426,120.3102726
3839160014,仁愛中醫診所,私立中醫診所,中醫一般診所,雲林縣台西鄉,05 6986933,雲林縣台西鄉五港村五港路２８１巷８１號,,23.7151096,120.1999488
3839160023,天人中醫診所,私立中醫診所,中醫一般診所,雲林縣台西鄉,05 6901716,雲林縣台西鄉和豐村忠孝路６９號,,23.728642,120.2132148
3839200013,賜安中醫診所,私立中醫診所,中醫一般診所,雲林縣水林鄉,05 3852785,雲林縣水林鄉水南村水林路２３５號,,23.5721662,120.2440885
3839200022,陳銘斌中醫診所,私立中醫診所,中醫一般診所,雲林縣水林鄉,05 7852662,雲林縣水林鄉水北村水林路１０４號,,23.5723443,120.2470517
3839010091,元美堂中醫診所,私立中醫診所,中醫一般診所,雲林縣斗六市,05 5336569,雲林縣斗六市中和里民生路32號,,23.708807,120.5378071
3839010126,一生中醫診所,私立中醫診所,中醫一般診所,雲林縣斗六市,05 5325603,雲林縣斗六市平和街７９號,,23.708195,120.546335
3839010153,吳勝志中醫診所,私立中醫診所,中醫一般診所,雲林縣斗六市,05 5326248,雲林縣斗六市太平路２９號之１,,23.7103919,120.5428383
3839010162,生元中醫診所,私立中醫診所,中醫一般診所,雲林縣斗六市,05 5324397,雲林縣斗六市信義里民生路２１１號,,23.7118046,120.5421609
