機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,經度,緯度
3846011179,道民中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市,089/323991,臺東縣台東市開封街449號,,22.7634285,121.1430812
3846011197,大春中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市,89355125,臺東縣台東市中華路二段一七六號,,22.7443613,121.1381288
3846011222,陳靜婉中醫診所,私立中醫診所,中醫一般診所,臺東縣台東市,089-331812,臺東縣台東市中正路271號,,22.7560638,121.153002
3846011231,景春中醫診所,私立中醫診所,中醫診所,臺東縣台東市,089-359629,臺東縣台東市中正路222號,,22.7552026,121.1543027
3846011268,普賢中醫診所,私立中醫診所,中醫診所,臺東縣台東市,089-516885,臺東縣台東市知本路三段583號,,22.7069102,121.0432424
3846021022,宏霖中醫診所,私立中醫診所,中醫一般診所,臺東縣成功鎮,089-852553,臺東縣成功鎮三民路三二號,,23.1014783,121.3699881
3846101052,福壽堂中醫診所,私立中醫診所,中醫一般診所,臺東縣池上鄉,089-863666,臺東縣池上鄉新生路一三四號,,23.1233215,121.2189202
3890010020,弘恩中醫診所,私立中醫診所,中醫一般診所,金門縣金城鎮,82323705,金門縣金城鎮民生路１５－３號,,24.4340514,118.3198111
3890011036,廣濟中醫診所,私立中醫診所,中醫一般診所,金門縣金城鎮,82325915,金門縣金城鎮浯江路19號,,24.426086,118.3255764
4001020019,基督復臨安息日會醫療財團法人臺安診所,醫療財團法人診所,西醫診所,臺北市大安區,2700-2899,臺北市大安區敦化南路二段76號11樓,"家庭醫學科,內科,",25.02923,121.5481706
4101200019,有全醫療社團法人景美牙醫診所,醫療社團法人診所,牙醫診所,臺北市文山區,29339793,臺北市文山區景美街20號3樓,,24.991396,121.541818
4101200028,有全醫療社團法人木柵101牙醫診所,醫療社團法人診所,牙醫診所,臺北市文山區,29396081,臺北市文山區木新路三段168號3樓,,24.9819051,121.5608657
4102050013,和平醫療社團法人章玟琇中醫診所,醫療社團法人診所,中醫診所,高雄市三民區,07-3874234,高雄市三民區九如一路171號1樓,,22.636843,120.339442
4102071021,阮綜合醫療社團法人上順診所,醫療社團法人診所,西醫診所,高雄市前金區,07-2725227,高雄市前金區市中一路225號3樓,,22.6304356,120.28929
4131050027,有全醫療社團法人有全牙醫診所,醫療社團法人診所,牙醫診所,新北市新店區,229101388,新北市新店區北新路二段164號1樓,,24.9756199,121.543129
3843070023,世昌中醫診所,私立中醫診所,中醫一般診所,屏東縣麟洛鄉,08 7211111,屏東縣麟洛鄉民權路9號,,22.6518911,120.526119
3843091059,聖德昌中醫診所,私立中醫診所,中醫一般診所,屏東縣里港鄉,08-7757998,屏東縣里港鄉中山路102號,,22.778972,120.4944711
3843100017,大仁中醫診所,私立中醫診所,中醫一般診所,屏東縣鹽埔鄉,08 7935395,屏東縣鹽埔鄉新二村維新路５２之３號,,22.7383507,120.5548281
3843130079,銓泰中醫診所,私立中醫診所,中醫一般診所,屏東縣內埔鄉,08-7790095,屏東縣內埔鄉南寧路２０９號,,22.6197404,120.5617822
3843131129,平安中醫診所,私立中醫診所,中醫診所,屏東縣內埔鄉,8.7693116,屏東縣內埔鄉南寧路１９６號,,22.6198412,120.5620845
3843161047,崇益中醫診所,私立中醫診所,中醫一般診所,屏東縣枋寮鄉,08-8780351,屏東縣枋寮鄉中山路246-5號,,22.3633656,120.5979559
3843161056,惠鳴中醫診所,私立中醫診所,中醫一般診所,屏東縣枋寮鄉,08-8717166,屏東縣枋寮鄉中山路二段250號,,22.383909,120.59504
3843201028,振德中醫診所,私立中醫診所,中醫一般診所,屏東縣南州鄉,08-8646699,屏東縣南州鄉仁里村人和路52號,,22.489204,120.509975
3843211024,張世材中醫診所,私立中醫診所,中醫診所,屏東縣佳冬鄉,8.8665665,屏東縣佳冬鄉石光村中山路150號,,22.434885,120.5627927
3842011931,立群中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7616908,高雄市鳳山區五甲二路365號,,22.5979704,120.336083
3842011940,長榮中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,8226874,高雄市鳳山區五甲二路566、568號,,22.5962746,120.3330117
3842012036,多寶中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7197883,高雄市鳳山區經武路二七一號,,22.6376559,120.3641857
3842012045,建安中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,8311119,高雄市鳳山區五甲二路五五三號,,22.59573,120.33175
3842012063,尚揚中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7775280,高雄市鳳山區文安街26號,,22.6424029,120.3478427
3842012214,心香中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7808308,高雄市鳳山區八德路二段222號,,22.6456292,120.352976
3842012232,順德中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,07-7651256,高雄市鳳山區新富路292號1樓,,22.6126807,120.3418333
3842012250,甘草堂中醫診所,私立中醫診所,中醫一般診所,高雄市鳳山區,7806262,高雄市鳳山區文化西路1號及3號1、2樓,,22.6348014,120.3496537
3842012367,齊祥中醫診所,私立中醫診所,中醫診所,高雄市鳳山區,07-7803333,高雄市鳳山區青年路二段269號,,22.6386582,120.3508044
3841310266,吉祥中醫聯合診所,私立中醫診所,中醫一般診所,臺南市永康區,06 2330973,臺南市永康區埔園里龍埔街４７２號,,23.035032,120.256861
3841310300,大千中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06 2013437,臺南市永康區復華里復國一路501號,,23.0155776,120.2442958
3841310319,志勇中醫聯合診所,私立中醫診所,中醫一般診所,臺南市永康區,06 2051878,臺南市永康區大灣里大灣路30２號,,23.0068693,120.2672383
3841311361,健宏中醫聯合診所,私立中醫診所,中醫一般診所,臺南市永康區,2317819,臺南市永康區埔園里四維街二號,,23.031157,120.2532944
3841311389,忠義中醫聯合診所,私立中醫診所,中醫一般診所,臺南市永康區,06-2534937,臺南市永康區蔦松里蔦松一街29號,,23.044079,120.2583858
3841311441,同心堂中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06-2040218,臺南市永康區永康里永大路二段一一六二號,,23.019713,120.2623173
3841311450,永生中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06 2081555,臺南市永康區六合里中華二路三二六號,,23.008544,120.2316704
3841311487,江銘酌中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06-3026670,臺南市永康區五王里振興路88號1樓,,23.0121382,120.2348624
3841311521,王建發中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06-2331213,臺南市永康區網寮里文化路三六九號,,23.0155961,120.2521293
3841311567,千祥中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06-3027116,臺南市永康區大橋里大橋二街二二一號,,23.0206998,120.2300279
3841311665,劉俊良中醫診所,私立中醫診所,中醫一般診所,臺南市永康區,06-2730279,臺南市永康區崑山里永大路二段11號,,23.001431,120.259544
3839011392,重德中醫診所,私立中醫診所,中醫一般診所,雲林縣斗六市,5322900,雲林縣斗六市成功路407號,,23.705797,120.55063
3839011409,新生中醫診所,私立中醫診所,中醫診所,雲林縣斗六市,922328273,雲林縣斗六市六合街97號,,23.705792,120.538023
3839011418,安賢中醫診所,私立中醫診所,中醫診所,雲林縣斗六市,05-5362968,雲林縣斗六市上海路136號1樓,,23.7129061,120.5390571
3839011427,東方中醫診所,私立中醫診所,中醫診所,雲林縣斗六市,5361010,雲林縣斗六市中山路339-1號1樓,,23.700666,120.538622
3839020015,乾光中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,55976072,雲林縣斗南鎮埤麻里２４號,,23.6833004,120.4496172
3839020033,信安中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,05 5977717,雲林縣斗南鎮民權路６之１號,,23.674112,120.479576
3839020079,聖德中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,05 5971955,雲林縣斗南鎮南昌西路52-1號,,23.6724426,120.4757411
3839020097,狀元堂中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,05 5963633,雲林縣斗南鎮明昌里延平路二段４７８號,,23.6737012,120.4760489
3839020113,國際中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,05 5968379,雲林縣斗南鎮民權路31號,,23.673751,120.478732
3839021156,大春堂中醫診所,私立中醫診所,中醫一般診所,雲林縣斗南鎮,05-5960629,雲林縣斗南鎮明昌里中正路二四五號,,23.676261,120.4755
3839030011,豐生中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05 6321235,雲林縣虎尾鎮德興路120號,,23.7124146,120.4300054
3839030066,太和堂中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,56323070,雲林縣虎尾鎮工專路６５號,,23.700552,120.425407
3839030146,佳樟中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05 6321121,雲林縣虎尾鎮光復路２００號,,23.709725,120.443531
3839030155,明德堂中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05 6337876,雲林縣虎尾鎮東仁里民族路23-2、23-3號,,23.7114462,120.4411897
3839030173,立仁中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05 6322978,雲林縣虎尾鎮立仁街十五號,,23.706573,120.429183
3839030182,宏儒中醫診所,私立中醫診所,中醫一般診所,雲林縣虎尾鎮,05-6321120,雲林縣虎尾鎮新興里光復路309號,,23.7097951,120.4402145
